Name,Team,BB%,O-Swing% (sc),NameASCII,PlayerId,MLBAMID
"Alex Bregman","BOS",0.103030303,0.1875,"Alex Bregman",17678,608324
"Trent Grisham","NYY",0.141135972,0.18669131,"Trent Grisham",18564,663757
"Josh Rojas","CHW",0.090047393,0.18559557,"Josh Rojas",19734,668942
"Rob Refsnyder","BOS",0.114832535,0.18465228,"Rob Refsnyder",13770,608701
"Kyle Tucker","CHC",0.145728643,0.18299445,"Kyle Tucker",18345,663656
"Liam Hicks","MIA",0.11025641,0.17877907,"Liam Hicks",29844,689414
"Tommy Pham","PIT",0.111358574,0.17812062,"Tommy Pham",2967,502054
"Isaac Collins","MIL",0.1292517,0.17596035,"Isaac Collins",25477,686555
"Gleyber Torres","DET",0.135350318,0.17174083,"Gleyber Torres",16997,650402
"Juan Soto","NYM",0.177622377,0.16168478,"Juan Soto",20123,665742
"Jose Herrera","ARI",0.112745098,0.15263158,"Jose Herrera",17040,645444
