"runner_id","runner_name","opportunity_type","opportunities","attempts","successes","observed_rate","observed_success_rate","league_rate","league_success_rate","shrunk_rate","shrunk_success_rate","reliability","profile_status"
"671732","Lawrence Butler","steal_second",110,7,7,0.0636363636363636,1,0.064747646241704,0.88160508541915,0.0639046042652389,0.914755661501788,0.758620689655172,"player signal"
"671732","Lawrence Butler","steal_third",51,2,2,0.0392156862745098,1,0.0135434186067097,0.856209150326797,0.0287676703631958,0.870588235294118,0.593023255813954,"player signal"
"671739","Michael Harris II","double_first_scores",6,6,4,0.666666666666667,0.666666666666667,0.411297440423654,0.411297440423654,0.448668546703119,0.475139746984407,0.146341463414634,"league-shrunk"
"671739","Michael Harris II","first_to_second_on_out",29,29,7,0.241379310344828,0.241379310344828,0.249152344206711,0.249152344206711,0.245630188238045,0.24435621693023,0.453125,"player signal"
"671739","Michael Harris II","ground_ball_double_play",43,43,8,0.186046511627907,0.186046511627907,0.204228187919463,0.204228187919463,0.194204956117708,0.191411596435251,0.551282051282051,"player signal"
"671739","Michael Harris II","sac_fly_scores",10,10,6,0.6,0.6,0.593089567259309,0.593089567259309,0.594625218979463,0.595557578952413,0.222222222222222,"league-shrunk"
"671739","Michael Harris II","second_to_third_on_out",34,34,16,0.470588235294118,0.470588235294118,0.47679196469335,0.47679196469335,0.473735054554598,0.472735680086159,0.492753623188406,"player signal"
"671739","Michael Harris II","single_first_to_third",21,21,8,0.380952380952381,0.380952380952381,0.344750558451229,0.344750558451229,0.358326241889161,0.364243847490311,0.375,"league-shrunk"
"671739","Michael Harris II","single_second_scores",13,13,8,0.615384615384615,0.615384615384615,0.618876080691643,0.618876080691643,0.617930475504323,0.617411917820954,0.270833333333333,"league-shrunk"
"671739","Michael Harris II","steal_second",127,10,8,0.078740157480315,0.8,0.064747646241704,0.88160508541915,0.0757170840645657,0.852460412055168,0.783950617283951,"player signal"
"671739","Michael Harris II","steal_third",86,1,1,0.0116279069767442,1,0.0135434186067097,0.856209150326797,0.0121819805887177,0.863777089783282,0.710743801652893,"player signal"
"671976","Tristan Peters","double_first_scores",3,3,2,0.666666666666667,0.666666666666667,0.411297440423654,0.411297440423654,0.43145816881126,0.44777875845837,0.0789473684210526,"league-shrunk"
"671976","Tristan Peters","first_to_second_on_out",29,29,9,0.310344827586207,0.310344827586207,0.249152344206711,0.249152344206711,0.276880188238045,0.286909408419591,0.453125,"player signal"
"671976","Tristan Peters","ground_ball_double_play",45,45,6,0.133333333333333,0.133333333333333,0.204228187919463,0.204228187919463,0.164349832214765,0.153589006072228,0.5625,"player signal"
"671976","Tristan Peters","sac_fly_scores",10,10,7,0.7,0.7,0.593089567259309,0.593089567259309,0.616847441201685,0.631271864666698,0.222222222222222,"league-shrunk"
"671976","Tristan Peters","second_to_third_on_out",16,16,12,0.75,0.75,0.47679196469335,0.47679196469335,0.562504289495436,0.605360451896479,0.313725490196078,"league-shrunk"
"671976","Tristan Peters","single_first_to_third",20,20,8,0.4,0.4,0.344750558451229,0.344750558451229,0.364841264468964,0.37382921189795,0.363636363636364,"league-shrunk"
"671976","Tristan Peters","single_second_scores",10,10,7,0.7,0.7,0.618876080691643,0.618876080691643,0.636903618315722,0.647848909016056,0.222222222222222,"league-shrunk"
"671976","Tristan Peters","steal_second",108,6,6,0.0555555555555556,1,0.064747646241704,0.88160508541915,0.0578053679612562,0.911203814064362,0.755244755244755,"player signal"
"671976","Tristan Peters","steal_third",69,1,0,0.0144927536231884,0,0.0135434186067097,0.856209150326797,0.0141732658772581,0.811145510835913,0.663461538461538,"player signal"
"672012","Tyler Black","first_to_second_on_out",2,2,2,1,1,0.249152344206711,0.249152344206711,0.289738703979321,0.32423710978604,0.0540540540540541,"league-shrunk"
"672012","Tyler Black","ground_ball_double_play",4,4,0,0,0,0.204228187919463,0.204228187919463,0.18328170710721,0.167095790115924,0.102564102564103,"league-shrunk"
"672012","Tyler Black","sac_fly_scores",3,3,1,0.333333333333333,0.333333333333333,0.593089567259309,0.593089567259309,0.57258249615989,0.555981533841312,0.0789473684210526,"league-shrunk"
"672012","Tyler Black","second_to_third_on_out",3,3,3,1,1,0.47679196469335,0.47679196469335,0.518097862217559,0.551535969737157,0.0789473684210526,"league-shrunk"
"672012","Tyler Black","single_first_to_third",2,2,1,0.5,0.5,0.344750558451229,0.344750558451229,0.353142420156568,0.360275502606106,0.0540540540540541,"league-shrunk"
"672012","Tyler Black","steal_second",5,0,0,0,,0.064747646241704,0.88160508541915,0.056654190461491,0.88160508541915,0.125,"league-shrunk"
"672012","Tyler Black","steal_third",5,0,0,0,,0.0135434186067097,0.856209150326797,0.011850491280871,0.856209150326797,0.125,"league-shrunk"
"672016","Denzel Clarke","double_first_scores",1,1,0,0,0,0.411297440423654,0.411297440423654,0.399872511522997,0.389650206717146,0.0277777777777778,"league-shrunk"
"672016","Denzel Clarke","first_to_second_on_out",2,2,1,0.5,0.5,0.249152344206711,0.249152344206711,0.262711676952294,0.27423710978604,0.0540540540540541,"league-shrunk"
"672016","Denzel Clarke","ground_ball_double_play",4,4,1,0.25,0.25,0.204228187919463,0.204228187919463,0.208922732748236,0.21255033557047,0.102564102564103,"league-shrunk"
"672016","Denzel Clarke","second_to_third_on_out",1,1,0,0,0,0.47679196469335,0.47679196469335,0.463547743451868,0.451697650762121,0.0277777777777778,"league-shrunk"
"672016","Denzel Clarke","single_first_to_third",2,2,0,0,0,0.344750558451229,0.344750558451229,0.326115393129541,0.310275502606106,0.0540540540540541,"league-shrunk"
"672016","Denzel Clarke","single_second_scores",1,1,1,1,1,0.618876080691643,0.618876080691643,0.629462856227986,0.638935234339451,0.0277777777777778,"league-shrunk"
"672016","Denzel Clarke","steal_second",13,2,2,0.153846153846154,1,0.064747646241704,0.88160508541915,0.0888784920512425,0.893444576877235,0.270833333333333,"league-shrunk"
"672016","Denzel Clarke","steal_third",8,0,0,0,,0.0135434186067097,0.856209150326797,0.0110237128194149,0.856209150326797,0.186046511627907,"league-shrunk"
"672275","Patrick Bailey","double_first_scores",5,5,1,0.2,0.2,0.411297440423654,0.411297440423654,0.384885260370697,0.365363214244599,0.125,"league-shrunk"
"672275","Patrick Bailey","first_to_second_on_out",15,15,2,0.133333333333333,0.133333333333333,0.249152344206711,0.249152344206711,0.214406640944698,0.196507339264267,0.3,"league-shrunk"
"672275","Patrick Bailey","ground_ball_double_play",23,23,2,0.0869565217391304,0.0869565217391304,0.204228187919463,0.204228187919463,0.157723906503124,0.138441643476837,0.396551724137931,"league-shrunk"
"672275","Patrick Bailey","sac_fly_scores",3,3,2,0.666666666666667,0.666666666666667,0.593089567259309,0.593089567259309,0.598898285633574,0.60360058146036,0.0789473684210526,"league-shrunk"
"672275","Patrick Bailey","second_to_third_on_out",11,11,3,0.272727272727273,0.272727272727273,0.47679196469335,0.47679196469335,0.427993886179723,0.399388116016562,0.239130434782609,"league-shrunk"
"672275","Patrick Bailey","single_first_to_third",14,14,4,0.285714285714286,0.285714285714286,0.344750558451229,0.344750558451229,0.327883051954959,0.318922189128816,0.285714285714286,"league-shrunk"
"672275","Patrick Bailey","single_second_scores",3,3,1,0.333333333333333,0.333333333333333,0.618876080691643,0.618876080691643,0.596333232215987,0.578084259640456,0.0789473684210526,"league-shrunk"
"672275","Patrick Bailey","steal_second",65,3,3,0.0461538461538462,1,0.064747646241704,0.88160508541915,0.0526616761845964,0.898518644644986,0.65,"player signal"
"672275","Patrick Bailey","steal_third",28,0,0,0,,0.0135434186067097,0.856209150326797,0.00752412144817208,0.856209150326797,0.444444444444444,"player signal"
"672284","Jarred Kelenic","double_first_scores",2,2,1,0.5,0.5,0.411297440423654,0.411297440423654,0.416092173373727,0.420167696381289,0.0540540540540541,"league-shrunk"
"672284","Jarred Kelenic","ground_ball_double_play",4,4,1,0.25,0.25,0.204228187919463,0.204228187919463,0.208922732748236,0.21255033557047,0.102564102564103,"league-shrunk"
"672284","Jarred Kelenic","sac_fly_scores",1,1,0,0,0,0.593089567259309,0.593089567259309,0.576614857057661,0.56187432687724,0.0277777777777778,"league-shrunk"
"672284","Jarred Kelenic","second_to_third_on_out",4,4,3,0.75,0.75,0.47679196469335,0.47679196469335,0.504813301647878,0.526466152930922,0.102564102564103,"league-shrunk"
"672284","Jarred Kelenic","single_first_to_third",2,2,0,0,0,0.344750558451229,0.344750558451229,0.326115393129541,0.310275502606106,0.0540540540540541,"league-shrunk"
"672284","Jarred Kelenic","single_second_scores",1,1,0,0,0,0.618876080691643,0.618876080691643,0.601685078450208,0.586303655392083,0.0277777777777778,"league-shrunk"
"672284","Jarred Kelenic","steal_second",9,0,0,0,,0.064747646241704,0.88160508541915,0.0515038095104463,0.88160508541915,0.204545454545455,"league-shrunk"
"672284","Jarred Kelenic","steal_third",5,0,0,0,,0.0135434186067097,0.856209150326797,0.011850491280871,0.856209150326797,0.125,"league-shrunk"
"672356","Gabriel Arias","first_to_second_on_out",9,9,2,0.222222222222222,0.222222222222222,0.249152344206711,0.249152344206711,0.243643910164429,0.240175636878548,0.204545454545455,"league-shrunk"
"672356","Gabriel Arias","ground_ball_double_play",16,16,2,0.125,0.125,0.204228187919463,0.204228187919463,0.179372285827083,0.166944334780892,0.313725490196078,"league-shrunk"
"672356","Gabriel Arias","sac_fly_scores",3,3,3,1,1,0.593089567259309,0.593089567259309,0.625214075107258,0.651219629079408,0.0789473684210526,"league-shrunk"
"672356","Gabriel Arias","second_to_third_on_out",6,6,3,0.5,0.5,0.47679196469335,0.47679196469335,0.480188262543103,0.482593973520012,0.146341463414634,"league-shrunk"
"672356","Gabriel Arias","single_first_to_third",9,9,3,0.333333333333333,0.333333333333333,0.344750558451229,0.344750558451229,0.342415216949841,0.340944816745264,0.204545454545455,"league-shrunk"
"672356","Gabriel Arias","single_second_scores",3,3,0,0,0,0.618876080691643,0.618876080691643,0.570017442742302,0.530465212021408,0.0789473684210526,"league-shrunk"
"672356","Gabriel Arias","steal_second",37,2,2,0.0540540540540541,1,0.064747646241704,0.88160508541915,0.0592523280341616,0.893444576877235,0.513888888888889,"player signal"
"672356","Gabriel Arias","steal_third",22,1,1,0.0454545454545455,1,0.0135434186067097,0.856209150326797,0.025859993881313,0.863777089783282,0.385964912280702,"league-shrunk"
"672386","Alejandro Kirk","double_first_scores",3,3,0,0,0,0.411297440423654,0.411297440423654,0.378826589863892,0.352540663220275,0.0789473684210526,"league-shrunk"
"672386","Alejandro Kirk","first_to_second_on_out",14,14,2,0.142857142857143,0.142857142857143,0.249152344206711,0.249152344206711,0.218782286678263,0.202648193616275,0.285714285714286,"league-shrunk"
"672386","Alejandro Kirk","ground_ball_double_play",28,28,8,0.285714285714286,0.285714285714286,0.204228187919463,0.204228187919463,0.240444231383829,0.25382842135979,0.444444444444444,"player signal"
"672386","Alejandro Kirk","sac_fly_scores",1,1,0,0,0,0.593089567259309,0.593089567259309,0.576614857057661,0.56187432687724,0.0277777777777778,"league-shrunk"
"672386","Alejandro Kirk","second_to_third_on_out",8,8,4,0.5,0.5,0.47679196469335,0.47679196469335,0.481109738703889,0.483932898633857,0.186046511627907,"league-shrunk"
"672386","Alejandro Kirk","single_first_to_third",12,12,0,0,0,0.344750558451229,0.344750558451229,0.256729139272191,0.206850335070737,0.25531914893617,"league-shrunk"
"672386","Alejandro Kirk","single_second_scores",2,2,2,1,1,0.618876080691643,0.618876080691643,0.63947737362723,0.656988472622478,0.0540540540540541,"league-shrunk"
"672386","Alejandro Kirk","steal_second",63,1,1,0.0158730158730159,1,0.064747646241704,0.88160508541915,0.0333282410046902,0.887836396712879,0.642857142857143,"player signal"
"672386","Alejandro Kirk","steal_third",27,0,0,0,,0.0135434186067097,0.856209150326797,0.00764547824572324,0.856209150326797,0.435483870967742,"player signal"
"672515","Gabriel Moreno","double_first_scores",10,10,4,0.4,0.4,0.411297440423654,0.411297440423654,0.408786898107287,0.407262640272349,0.222222222222222,"league-shrunk"
"672515","Gabriel Moreno","first_to_second_on_out",30,30,7,0.233333333333333,0.233333333333333,0.249152344206711,0.249152344206711,0.241851262265152,0.23926546241085,0.461538461538462,"player signal"
"672515","Gabriel Moreno","ground_ball_double_play",55,55,9,0.163636363636364,0.163636363636364,0.204228187919463,0.204228187919463,0.179422073079791,0.173645306610279,0.611111111111111,"player signal"
"672515","Gabriel Moreno","sac_fly_scores",10,10,6,0.6,0.6,0.593089567259309,0.593089567259309,0.594625218979463,0.595557578952413,0.222222222222222,"league-shrunk"
"672515","Gabriel Moreno","second_to_third_on_out",28,28,12,0.428571428571429,0.428571428571429,0.47679196469335,0.47679196469335,0.455360615305829,0.447440334010441,0.444444444444444,"player signal"
"672515","Gabriel Moreno","single_first_to_third",26,26,7,0.269230769230769,0.269230769230769,0.344750558451229,0.344750558451229,0.312561795832672,0.300125228457321,0.426229508196721,"player signal"
"672515","Gabriel Moreno","single_second_scores",15,15,8,0.533333333333333,0.533333333333333,0.618876080691643,0.618876080691643,0.59321325648415,0.579993013710593,0.3,"league-shrunk"
"672515","Gabriel Moreno","steal_second",143,5,5,0.034965034965035,1,0.064747646241704,0.88160508541915,0.0408211663958407,0.90734311032803,0.803370786516854,"player signal"
"672515","Gabriel Moreno","steal_third",97,0,0,0,,0.0135434186067097,0.856209150326797,0.00359105796390031,0.856209150326797,0.734848484848485,"player signal"
"672569","Gustavo Campero","double_first_scores",1,1,1,1,1,0.411297440423654,0.411297440423654,0.427650289300775,0.442281785664514,0.0277777777777778,"league-shrunk"
"672569","Gustavo Campero","single_second_scores",1,1,0,0,0,0.618876080691643,0.618876080691643,0.601685078450208,0.586303655392083,0.0277777777777778,"league-shrunk"
"672569","Gustavo Campero","steal_second",3,0,0,0,,0.064747646241704,0.88160508541915,0.0596359899594642,0.88160508541915,0.0789473684210526,"league-shrunk"
"672569","Gustavo Campero","steal_third",1,0,0,0,,0.0135434186067097,0.856209150326797,0.0131672125343011,0.856209150326797,0.0277777777777778,"league-shrunk"
"672580","Maikel Garcia","double_first_scores",7,7,2,0.285714285714286,0.285714285714286,0.411297440423654,0.411297440423654,0.390366914638759,0.376134157105031,0.166666666666667,"league-shrunk"
"672580","Maikel Garcia","first_to_second_on_out",19,19,2,0.105263157894737,0.105263157894737,0.249152344206711,0.249152344206711,0.198524667541387,0.175263302587049,0.351851851851852,"league-shrunk"
"672580","Maikel Garcia","ground_ball_double_play",29,29,6,0.206896551724138,0.206896551724138,0.204228187919463,0.204228187919463,0.205437290268456,0.205874625160645,0.453125,"player signal"
"672580","Maikel Garcia","sac_fly_scores",7,7,6,0.857142857142857,0.857142857142857,0.593089567259309,0.593089567259309,0.637098448906567,0.667024488426702,0.166666666666667,"league-shrunk"
"672580","Maikel Garcia","second_to_third_on_out",15,15,5,0.333333333333333,0.333333333333333,0.47679196469335,0.47679196469335,0.433754375285345,0.411583495893342,0.3,"league-shrunk"
"672580","Maikel Garcia","single_first_to_third",16,16,7,0.4375,0.4375,0.344750558451229,0.344750558451229,0.373848422466529,0.38839735447418,0.313725490196078,"league-shrunk"
"672580","Maikel Garcia","single_second_scores",9,9,5,0.555555555555556,0.555555555555556,0.618876080691643,0.618876080691643,0.605924155095625,0.597769238979614,0.204545454545455,"league-shrunk"
"672580","Maikel Garcia","steal_second",80,5,2,0.0625,0.4,0.064747646241704,0.88160508541915,0.0631840662474751,0.776908327719335,0.695652173913043,"player signal"
"672580","Maikel Garcia","steal_third",52,2,2,0.0384615384615385,1,0.0135434186067097,0.856209150326797,0.0284370074854579,0.870588235294118,0.597701149425287,"player signal"
"672613","Eliezer Alfonzo","single_first_to_third",1,1,0,0,0,0.344750558451229,0.344750558451229,0.335174154049806,0.326605792216953,0.0277777777777778,"league-shrunk"
"672613","Eliezer Alfonzo","single_second_scores",1,1,0,0,0,0.618876080691643,0.618876080691643,0.601685078450208,0.586303655392083,0.0277777777777778,"league-shrunk"
"672613","Eliezer Alfonzo","steal_second",3,0,0,0,,0.064747646241704,0.88160508541915,0.0596359899594642,0.88160508541915,0.0789473684210526,"league-shrunk"
"672613","Eliezer Alfonzo","steal_third",5,0,0,0,,0.0135434186067097,0.856209150326797,0.011850491280871,0.856209150326797,0.125,"league-shrunk"
"672640","Otto Lopez","double_first_scores",11,11,4,0.363636363636364,0.363636363636364,0.411297440423654,0.411297440423654,0.399900226409302,0.393219100952613,0.239130434782609,"league-shrunk"
"672640","Otto Lopez","first_to_second_on_out",32,32,11,0.34375,0.34375,0.249152344206711,0.249152344206711,0.294333314137834,0.309694843914416,0.477611940298507,"player signal"
"672640","Otto Lopez","ground_ball_double_play",59,59,10,0.169491525423729,0.169491525423729,0.204228187919463,0.204228187919463,0.182425389118949,0.177611784188965,0.627659574468085,"player signal"
"672640","Otto Lopez","sac_fly_scores",14,14,10,0.714285714285714,0.714285714285714,0.593089567259309,0.593089567259309,0.627717037838282,0.646112881583361,0.285714285714286,"league-shrunk"
"672640","Otto Lopez","second_to_third_on_out",34,34,20,0.588235294117647,0.588235294117647,0.47679196469335,0.47679196469335,0.531706069047351,0.549658757009236,0.492753623188406,"player signal"
"672640","Otto Lopez","single_first_to_third",30,30,9,0.3,0.3,0.344750558451229,0.344750558451229,0.324096454550661,0.316781459419211,0.461538461538462,"player signal"
"672640","Otto Lopez","single_second_scores",21,21,14,0.666666666666667,0.666666666666667,0.618876080691643,0.618876080691643,0.636797550432277,0.644609473139733,0.375,"league-shrunk"
"672640","Otto Lopez","steal_second",169,29,25,0.171597633136095,0.862068965517241,0.064747646241704,0.88160508541915,0.153265527541469,0.869550883777547,0.82843137254902,"player signal"
"672640","Otto Lopez","steal_third",113,3,3,0.0265486725663717,1,0.0135434186067097,0.856209150326797,0.0234731057515868,0.876750700280112,0.763513513513513,"player signal"
