"current_game_id","team","opponent","game_pk","game_date","recency_label","role","player_id","player_name","stat_line","performance_score","report_date","source_through","generated_at_utc"
"822921","Tampa Bay Rays","Boston Red Sox","822923","2026-09-18","Yesterday","Hitter","691406","Junior Caminero","1 H, 0 HR, 1 2B, 1 RBI",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Tampa Bay Rays","Boston Red Sox","822923","2026-09-18","Yesterday","Hitter","663743","Nick Fortes","1 H, 0 HR, 1 2B, 0 RBI",2,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Tampa Bay Rays","Boston Red Sox","822923","2026-09-18","Yesterday","Pitcher","693855","Ian Seymour","5.0 IP, 5 K",10,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"822921","Tampa Bay Rays","Boston Red Sox","822923","2026-09-18","Yesterday","Pitcher","668984","Casey Legumina","2.0 IP, 4 K",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","Philadelphia Phillies","New York Mets","823572","2026-09-18","Yesterday","Hitter","624641","Edmundo Sosa","3 H, 1 HR, 1 2B, 1 RBI",10,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","Philadelphia Phillies","New York Mets","823572","2026-09-18","Yesterday","Hitter","656537","Derek Hill","1 H, 1 HR, 0 2B, 1 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","Philadelphia Phillies","New York Mets","823572","2026-09-18","Yesterday","Hitter","681082","Bryson Stott","1 H, 0 HR, 1 2B, 1 RBI",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","Philadelphia Phillies","New York Mets","823572","2026-09-18","Yesterday","Pitcher","664353","José Urquidy","4.2 IP, 6 K",10.6666666666667,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","Philadelphia Phillies","New York Mets","823572","2026-09-18","Yesterday","Pitcher","689147","Orion Kerkering","1.0 IP, 2 K",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","New York Mets","Philadelphia Phillies","823572","2026-09-18","Yesterday","Hitter","665742","Juan Soto","3 H, 1 HR, 1 2B, 3 RBI",12,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","New York Mets","Philadelphia Phillies","823572","2026-09-18","Yesterday","Hitter","701807","Carson Benge","2 H, 0 HR, 0 2B, 1 RBI",5,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","New York Mets","Philadelphia Phillies","823572","2026-09-18","Yesterday","Hitter","805999","A.J. Ewing","1 H, 0 HR, 0 2B, 2 RBI",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","New York Mets","Philadelphia Phillies","823572","2026-09-18","Yesterday","Pitcher","804267","Zac Thornton","6.0 IP, 4 K",10,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823571","New York Mets","Philadelphia Phillies","823572","2026-09-18","Yesterday","Pitcher","681320","Nate Lavender","1.2 IP, 1 K",2.66666666666667,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Athletics","Cleveland Guardians","824383","2026-09-18","Yesterday","Hitter","680869","Zack Gelof","1 H, 1 HR, 0 2B, 3 RBI",8,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Athletics","Cleveland Guardians","824383","2026-09-18","Yesterday","Hitter","675961","Alika Williams","1 H, 0 HR, 0 2B, 0 RBI",2,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
