"pitch_type","pitch_name","pitches","average_velocity","average_horizontal_break","average_induced_vertical_break","date","rolling_days","trend_method","source_through","generated_at_utc"
"SL","Slider",2477,86.1630601534114,-1.63520387565604,1.09071457408155,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",1451,82.8350792556857,-5.34776016540317,1.1986905582357,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",122,82.233606557377,0.645901639344262,-4.50573770491803,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",2,65.3,14.6,0.75,2026-03-30,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",2335,86.4283940042827,4.41014989293362,3.81875802997859,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",7,74.4285714285714,-10.2428571428571,-8.05714285714286,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",1452,80.0030991735537,-5.12183195592286,-10.654958677686,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"EP","Eephus",23,45.7391304347826,2.10434782608696,22.8173913043478,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FA","Fastball",11,62.6545454545455,6.39090909090909,20.8181818181818,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",1744,89.6088302752294,-1.2473623853211,8.2506880733945,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",6797,94.8276004119464,3.45812858614094,16.3528762689422,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FO","Forkball",33,84.9878787878788,8.53333333333333,-0.948484848484848,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",837,86.9268817204301,9.88339307048984,3.1415770609319,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",494,83.2544534412955,-6.08704453441296,-9.79939271255061,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",3888,93.8896862139918,5.40787037037037,7.53999485596708,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",2931,86.3336062777209,-1.70890481064483,1.28696690549301,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",1849,82.8074634937804,-5.40535424553813,1.16435911303407,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",131,82.2251908396947,-0.245038167938931,-4.69007633587786,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",3,67.5333333333333,5.26666666666667,-0.5,2026-03-31,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",2870,86.4220905923345,3.8381881533101,3.85296167247387,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",9,74.5111111111111,-10.1222222222222,-8.52222222222222,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",1756,80.1020501138952,-4.64293849658314,-10.5717539863326,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"EP","Eephus",23,45.7391304347826,2.10434782608696,22.8173913043478,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FA","Fastball",11,62.6545454545455,6.39090909090909,20.8181818181818,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",2055,89.7274452554744,-1.12068126520681,8.25177615571776,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",8235,94.8070552519733,3.40350941105039,16.3144748026715,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FO","Forkball",33,84.9878787878788,8.53333333333333,-0.948484848484848,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",1040,87.0199038461538,9.91144230769231,3.11961538461538,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",591,83.1754653130288,-5.68494077834179,-9.86294416243655,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",4557,94.0041913539609,5.32174676322142,7.69049813473777,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",3454,86.2834973943254,-1.56543138390272,1.30801968731905,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",2184,82.8961538461539,-5.06781135531136,1.00531135531136,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",139,82.3503597122302,-0.355395683453237,-4.66834532374101,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",3,67.5333333333333,5.26666666666667,-0.5,2026-04-01,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",2937,86.3919305413688,3.55645216207014,3.91627511065713,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",9,74.5111111111111,-10.1222222222222,-8.52222222222222,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",1803,80.0851913477537,-4.64891846921797,-10.5291735995563,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"EP","Eephus",43,42.7488372093023,1.84186046511628,22.0139534883721,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FA","Fastball",11,62.6545454545455,6.39090909090909,20.8181818181818,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",2128,89.7325657894737,-1.19318609022556,8.19967105263158,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",8586,94.7949918471931,3.2324248777079,16.3493594223154,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FO","Forkball",33,84.9878787878788,8.53333333333333,-0.948484848484848,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",1066,87.1082551594747,9.97954971857411,3.22692307692308,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",607,83.0466227347611,-5.28237232289951,-9.9171334431631,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",4655,93.9763050483351,5.25720730397422,7.67798066595059,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",3618,86.2326147042565,-1.61169154228856,1.33090105030404,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",2242,82.7952720785013,-4.92881355932203,1.05834076717217,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",139,82.3503597122302,-0.355395683453237,-4.66834532374101,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",3,67.5333333333333,5.26666666666667,-0.5,2026-04-02,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",3433,86.1986018060006,3.63547917273522,4.06128750364113,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",9,74.5111111111111,-10.1222222222222,-8.52222222222222,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",2027,80.0394178589048,-4.26665022200296,-10.7250616674889,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"EP","Eephus",43,42.7488372093023,1.84186046511628,22.0139534883721,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FA","Fastball",11,62.6545454545455,6.39090909090909,20.8181818181818,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",2341,89.7170439982913,-1.14280222127296,8.15104656129859,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",9861,94.6932562620424,3.31880133860663,16.3279789068046,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FO","Forkball",33,84.9878787878788,8.53333333333333,-0.948484848484848,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",1204,87.1268272425249,10.4480897009967,3.15556478405316,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",681,82.7985315712188,-5.22173274596182,-9.97019089574156,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",5342,93.9050355672033,5.56381505054287,7.59964432796705,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",4250,86.2030823529412,-1.74091764705882,1.23651764705882,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",2639,82.701326259947,-5.5525198938992,1.09196665403562,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",145,82.3593103448276,-0.188275862068965,-4.65034482758621,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",3,67.5333333333333,5.26666666666667,-0.5,2026-04-03,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",3921,86.2473348635552,3.73516959959194,3.86388676358072,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",11,73.1363636363636,-10.9181818181818,-7.60909090909091,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",2328,80.0391323024055,-4.61258591065292,-10.6599656357388,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"EP","Eephus",52,43.6711538461538,-0.394230769230769,19.0519230769231,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FA","Fastball",11,62.6545454545455,6.39090909090909,20.8181818181818,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",2719,89.7909893343141,-1.11228392791467,8.17609415226186,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",11087,94.6890412194462,3.52620185803193,16.1925949310003,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FO","Forkball",33,84.9878787878788,8.53333333333333,-0.948484848484848,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",1301,87.0880092236741,10.2685626441199,3.0489623366641,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",777,82.8574002574003,-5.24054054054054,-10.1839124839125,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",6296,93.9855146124524,5.56022871664549,7.60648030495553,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",4885,86.2000614124872,-1.72059365404299,1.18456499488229,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",3003,82.805661005661,-5.43026973026973,0.994505494505495,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SV","Slurve",196,82.3352040816327,-1.82959183673469,-4.85663265306122,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"UN","Unknown",3,67.5333333333333,5.26666666666667,-0.5,2026-04-04,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",4596,86.2085726718886,3.81275021758051,3.81268494342907,2026-04-05,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",11,73.1363636363636,-10.9181818181818,-7.60909090909091,2026-04-05,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",2671,79.9812429801572,-4.31901909397229,-10.6751029576937,2026-04-05,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"EP","Eephus",52,43.6711538461538,-0.394230769230769,19.0519230769231,2026-04-05,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
