"team","note_order","note_category","subject","headline","evidence","signal_score","destination","note_method","source_through","generated_at_utc"
"Detroit Tigers",3,"matchup_edge","Matt Vierling","Matt Vierling is doing more damage against left-handed pitching","Estimated wOBA: 0.327 vs L, 0.203 vs R.",77.3,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Houston Astros",1,"team_identity","Houston Astros","Houston Astros's analytical identity","Houston Astros ranks 22nd in run generation and 21st in pitching performance, with a usable bullpen and 2 recent risers.",38.6,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Houston Astros",2,"form_driver","Ethan Pecko","Ethan Pecko is the strongest recent pitcher signal","Recent OPS allowed 0.402 versus 0.809 previously.",71.1,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Houston Astros",3,"matchup_edge","Yordan Alvarez","Yordan Alvarez is doing more damage against right-handed pitching","Estimated wOBA: 0.342 vs L, 0.449 vs R.",80.3,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Kansas City Royals",1,"team_identity","Kansas City Royals","Kansas City Royals's analytical identity","Kansas City Royals ranks 19th in run generation and 27th in pitching performance, with a usable bullpen and 0 recent risers.",31.2,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Kansas City Royals",2,"form_driver","Connor Thomas","Connor Thomas is the strongest recent pitcher signal","Recent OPS allowed 0.787 versus 0.990 previously.",62.3,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Kansas City Royals",3,"matchup_edge","Luinder Avila","Luinder Avila is limiting left-handed batters more effectively","Estimated wOBA: 0.304 vs L, 0.413 vs R.",76,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Los Angeles Angels",1,"team_identity","Los Angeles Angels","Los Angeles Angels's analytical identity","Los Angeles Angels ranks 30th in run generation and 18th in pitching performance, with a usable bullpen and 0 recent risers.",27.6,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Los Angeles Angels",2,"form_driver","Ryan Watson","Ryan Watson is the strongest recent pitcher signal","Recent OPS allowed 0.536 versus 0.722 previously.",64.5,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Los Angeles Angels",3,"signature_pitch","Sam Bachman","Sam Bachman's Slider: 88.4 mph, 37.6% whiffs","Quality score 80.8; usage 52.9%.",80.8,"pitch-lab.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Los Angeles Dodgers",1,"team_identity","Los Angeles Dodgers","Los Angeles Dodgers's analytical identity","Los Angeles Dodgers ranks 1st in run generation and 1st in pitching performance, with a usable bullpen and 5 recent risers.",90.3,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Los Angeles Dodgers",2,"form_driver","Kyle Tucker","Kyle Tucker is the strongest recent hitter signal","Recent OPS 1.435 versus 0.670 previously.",83.8,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Los Angeles Dodgers",3,"signature_pitch","Tanner Scott","Tanner Scott's Slider: 89.3 mph, 38.0% whiffs","Quality score 81.2; usage 51.6%.",81.2,"pitch-lab.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Miami Marlins",1,"team_identity","Miami Marlins","Miami Marlins's analytical identity","Miami Marlins ranks 6th in run generation and 16th in pitching performance, with a rested bullpen and 1 recent risers.",54.4,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Miami Marlins",2,"form_driver","Jakob Marsee","Jakob Marsee is the strongest recent hitter signal","Recent OPS 1.186 versus 0.657 previously.",73,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Miami Marlins",3,"matchup_edge","Pete Fairbanks","Pete Fairbanks is limiting right-handed batters more effectively","Estimated wOBA: 0.378 vs L, 0.248 vs R.",72.8,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Milwaukee Brewers",1,"team_identity","Milwaukee Brewers","Milwaukee Brewers's analytical identity","Milwaukee Brewers ranks 2nd in run generation and 5th in pitching performance, with a taxed bullpen and 2 recent risers.",83.8,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Milwaukee Brewers",2,"form_driver","Brice Turang","Brice Turang is the strongest recent hitter signal","Recent OPS 1.142 versus 0.770 previously.",70.9,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Milwaukee Brewers",3,"matchup_edge","Brice Turang","Brice Turang is doing more damage against right-handed pitching","Estimated wOBA: 0.269 vs L, 0.379 vs R.",82.3,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Minnesota Twins",1,"team_identity","Minnesota Twins","Minnesota Twins's analytical identity","Minnesota Twins ranks 18th in run generation and 14th in pitching performance, with a rested bullpen and 2 recent risers.",48.1,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Minnesota Twins",2,"form_driver","Jeff Hoffman","Jeff Hoffman is the strongest recent pitcher signal","Recent OPS allowed 0.100 versus 0.700 previously.",79.4,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Minnesota Twins",3,"matchup_edge","Yoendrys Gómez","Yoendrys Gómez is limiting right-handed batters more effectively","Estimated wOBA: 0.376 vs L, 0.261 vs R.",79,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"New York Mets",1,"team_identity","New York Mets","New York Mets's analytical identity","New York Mets ranks 21st in run generation and 22nd in pitching performance, with a usable bullpen and 1 recent risers.",38.1,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"New York Mets",2,"form_driver","Brett Baty","Brett Baty is the strongest recent hitter signal","Recent OPS 1.008 versus 0.652 previously.",69.6,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"New York Mets",3,"signature_pitch","Devin Williams","Devin Williams's Changeup: 83.9 mph, 37.0% whiffs","Quality score 82.4; usage 46.9%.",82.4,"pitch-lab.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"New York Yankees",1,"team_identity","New York Yankees","New York Yankees's analytical identity","New York Yankees ranks 5th in run generation and 4th in pitching performance, with a taxed bullpen and 0 recent risers.",76.4,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"New York Yankees",2,"form_driver","Ryan Yarbrough","Ryan Yarbrough is the strongest recent pitcher signal","Recent OPS allowed 0.432 versus 0.651 previously.",64.8,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"New York Yankees",3,"matchup_edge","Paul Goldschmidt","Paul Goldschmidt is doing more damage against left-handed pitching","Estimated wOBA: 0.417 vs L, 0.248 vs R.",87.8,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Philadelphia Phillies",1,"team_identity","Philadelphia Phillies","Philadelphia Phillies's analytical identity","Philadelphia Phillies ranks 10th in run generation and 8th in pitching performance, with a taxed bullpen and 1 recent risers.",63.5,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Philadelphia Phillies",2,"form_driver","Chase Shugart","Chase Shugart is the strongest recent pitcher signal","Recent OPS allowed 0.206 versus 0.792 previously.",69.3,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Philadelphia Phillies",3,"matchup_edge","Cristopher Sánchez","Cristopher Sánchez is limiting left-handed batters more effectively","Estimated wOBA: 0.171 vs L, 0.330 vs R.",87.2,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Pittsburgh Pirates",1,"team_identity","Pittsburgh Pirates","Pittsburgh Pirates's analytical identity","Pittsburgh Pirates ranks 4th in run generation and 11th in pitching performance, with a taxed bullpen and 3 recent risers.",66.3,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Pittsburgh Pirates",2,"form_driver","Yohan Ramírez","Yohan Ramírez is the strongest recent pitcher signal","Recent OPS allowed 0.095 versus 0.617 previously.",77.8,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Pittsburgh Pirates",3,"matchup_edge","Brandon Lowe","Brandon Lowe is doing more damage against right-handed pitching","Estimated wOBA: 0.273 vs L, 0.385 vs R.",83.7,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"San Diego Padres",1,"team_identity","San Diego Padres","San Diego Padres's analytical identity","San Diego Padres ranks 11th in run generation and 9th in pitching performance, with a usable bullpen and 3 recent risers.",59.3,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"San Diego Padres",2,"form_driver","Jackson Merrill","Jackson Merrill is the strongest recent hitter signal","Recent OPS 1.191 versus 0.702 previously.",73.7,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"San Diego Padres",3,"signature_pitch","Mason Miller","Mason Miller's Slider: 88.0 mph, 54.0% whiffs","Quality score 86.4; usage 51.1%.",86.4,"pitch-lab.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"San Francisco Giants",1,"team_identity","San Francisco Giants","San Francisco Giants's analytical identity","San Francisco Giants ranks 23rd in run generation and 23rd in pitching performance, with a usable bullpen and 2 recent risers.",34,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"San Francisco Giants",2,"form_driver","Drew Gilbert","Drew Gilbert is the strongest recent hitter signal","Recent OPS 1.250 versus 0.690 previously.",81.1,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"San Francisco Giants",3,"matchup_edge","Rafael Devers","Rafael Devers is doing more damage against right-handed pitching","Estimated wOBA: 0.250 vs L, 0.422 vs R.",91.4,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Seattle Mariners",1,"team_identity","Seattle Mariners","Seattle Mariners's analytical identity","Seattle Mariners ranks 27th in run generation and 10th in pitching performance, with a usable bullpen and 1 recent risers.",46.6,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Seattle Mariners",2,"form_driver","Seranthony Domínguez","Seranthony Domínguez is the strongest recent pitcher signal","Recent OPS allowed 0.453 versus 0.700 previously.",65.9,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Seattle Mariners",3,"matchup_edge","José A. Ferrer","José A. Ferrer is limiting left-handed batters more effectively","Estimated wOBA: 0.254 vs L, 0.396 vs R.",82.6,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"St. Louis Cardinals",1,"team_identity","St. Louis Cardinals","St. Louis Cardinals's analytical identity","St. Louis Cardinals ranks 26th in run generation and 26th in pitching performance, with a usable bullpen and 0 recent risers.",27.3,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"St. Louis Cardinals",2,"form_driver","Justin Bruihl","Justin Bruihl is the strongest recent pitcher signal","Recent OPS allowed 0.431 versus 0.710 previously.",64.9,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"St. Louis Cardinals",3,"matchup_edge","Alec Burleson","Alec Burleson is doing more damage against right-handed pitching","Estimated wOBA: 0.239 vs L, 0.397 vs R.",89.1,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Tampa Bay Rays",1,"team_identity","Tampa Bay Rays","Tampa Bay Rays's analytical identity","Tampa Bay Rays ranks 9th in run generation and 3rd in pitching performance, with a taxed bullpen and 3 recent risers.",72.3,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Tampa Bay Rays",2,"form_driver","Victor Mesa Jr.","Victor Mesa Jr. is the strongest recent hitter signal","Recent OPS 1.274 versus 0.722 previously.",75.7,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Tampa Bay Rays",3,"matchup_edge","Cole Sulser","Cole Sulser is limiting left-handed batters more effectively","Estimated wOBA: 0.210 vs L, 0.427 vs R.",79.1,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Texas Rangers",1,"team_identity","Texas Rangers","Texas Rangers's analytical identity","Texas Rangers ranks 17th in run generation and 12th in pitching performance, with a taxed bullpen and 2 recent risers.",53,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Texas Rangers",2,"form_driver","Danny Jansen","Danny Jansen is the strongest recent hitter signal","Recent OPS 1.025 versus 0.588 previously.",79.4,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Texas Rangers",3,"signature_pitch","Jacob Latz","Jacob Latz's Changeup: 86.0 mph, 45.5% whiffs","Quality score 79.5; usage 21.3%.",79.5,"pitch-lab.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Toronto Blue Jays",1,"team_identity","Toronto Blue Jays","Toronto Blue Jays's analytical identity","Toronto Blue Jays ranks 29th in run generation and 15th in pitching performance, with a taxed bullpen and 0 recent risers.",33,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Toronto Blue Jays",2,"form_driver","Louis Varland","Louis Varland is the strongest recent pitcher signal","Recent OPS allowed 0.360 versus 0.514 previously.",57.7,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Toronto Blue Jays",3,"matchup_edge","Mason Fluharty","Mason Fluharty is limiting left-handed batters more effectively","Estimated wOBA: 0.188 vs L, 0.382 vs R.",83.2,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Washington Nationals",1,"team_identity","Washington Nationals","Washington Nationals's analytical identity","Washington Nationals ranks 20th in run generation and 28th in pitching performance, with a rested bullpen and 2 recent risers.",30.4,"teams.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Washington Nationals",2,"form_driver","Riley Cornelio","Riley Cornelio is the strongest recent pitcher signal","Recent OPS allowed 0.390 versus 0.743 previously.",70.5,"today.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
"Washington Nationals",3,"matchup_edge","Brady House","Brady House is doing more damage against left-handed pitching","Estimated wOBA: 0.417 vs L, 0.251 vs R.",79.7,"matchups.html","team_broadcast_three_v1","2026-09-21","2026-09-22 14:35:45 UTC"
