"playerID","yearID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","BB","HBP","SF","PA","AVG","OBP","TB","SLG","OPS","avg_percentile","obp_percentile","slg_percentile","ops_percentile","h_percentile","hr_percentile","rbi_percentile","r_percentile","sb_percentile","decade"
"dimagjo01",1939,"AL",120,462,108,176,32,6,30,126,3,52,4,0,518,0.380952380952381,0.447876447876448,310,0.670995670995671,1.11887211887212,1,0.972727272727273,0.990909090909091,0.990909090909091,0.936363636363636,0.972727272727273,0.990909090909091,0.927272727272727,0.472727272727273,1930
"dimagjo01",1941,"AL",139,541,122,193,43,11,30,125,4,76,4,0,621,0.356746765249538,0.439613526570048,348,0.643253234750462,1.08286676132051,0.97979797979798,0.97979797979798,0.98989898989899,0.98989898989899,0.97979797979798,0.96969696969697,1,0.98989898989899,0.595959595959596,1940
"dimagjo01",1947,"AL",141,534,97,168,31,10,20,97,3,64,3,0,601,0.314606741573034,0.391014975041597,279,0.52247191011236,0.913486885153957,0.942857142857143,0.904761904761905,0.980952380952381,0.980952380952381,0.957142857142857,0.952380952380952,0.980952380952381,0.961904761904762,0.619047619047619,1940
"donaljo02",2015,"AL",158,620,122,184,41,2,41,123,6,73,6,10,709,0.296774193548387,0.370944992947814,352,0.567741935483871,0.938686928431685,0.929515418502203,0.947136563876652,0.982378854625551,0.982378854625551,0.982378854625551,0.988986784140969,1,1,0.715859030837004,2010
"doylela01",1912,"NL",143,558,98,184,33,8,10,90,36,56,2,0,616,0.329749103942652,0.392857142857143,263,0.471326164874552,0.864183307731695,0.955752212389381,0.884955752212389,0.955752212389381,0.946902654867257,0.973451327433628,0.951327433628319,0.955752212389381,0.946902654867257,0.942477876106195,1910
"elliobo01",1947,"NL",150,555,93,176,35,5,22,113,3,87,0,0,642,0.317117117117117,0.409657320872274,287,0.517117117117117,0.926774437989391,0.962616822429907,0.925233644859813,0.953271028037383,0.97196261682243,0.934579439252336,0.925233644859813,0.97196261682243,0.897196261682243,0.616822429906542,1940
"eversjo01",1914,"NL",139,491,81,137,20,3,1,40,12,87,2,0,580,0.279022403258656,0.389655172413793,166,0.338085539714868,0.727740712128661,0.811965811965812,0.931623931623932,0.598290598290598,0.854700854700855,0.786324786324786,0.504273504273504,0.675213675213675,0.931623931623932,0.58974358974359,1910
"fostege01",1977,"NL",158,615,124,197,31,2,52,149,6,61,5,8,689,0.320325203252033,0.381712626995646,388,0.630894308943089,1.01260693593874,0.969512195121951,0.871951219512195,1,1,0.981707317073171,1,1,1,0.628048780487805,1970
"foxne01",1959,"AL",156,624,84,191,34,6,2,70,5,71,7,5,707,0.306089743589744,0.38048090523338,243,0.389423076923077,0.769903982156457,0.956140350877193,0.912280701754386,0.552631578947368,0.719298245614035,0.991228070175439,0.210526315789474,0.815789473684211,0.894736842105263,0.785087719298246,1950
"foxxji01",1932,"AL",154,585,151,213,33,9,58,169,3,116,0,0,701,0.364102564102564,0.469329529243937,438,0.748717948717949,1.21804747796189,0.98989898989899,0.98989898989899,1,1,0.97979797979798,1,1,1,0.429292929292929,1930
