"source_row","game_pk","game_date","at_bat_index","pitch_number","play_id","inning","half_inning","is_top_inning","batting_team","fielding_team","home_team","away_team","pitcher_id","pitcher_name","pitcher_hand","batter_id","batter_name","batter_side","outs_before","outs_after","runner_on_first","runner_on_second","runner_on_third","event_type","event","event_key","description","pitch_type","pitch_name","is_in_play","is_terminal_pitch","launch_speed","launch_angle","hit_distance","hit_location","hit_coord_x","hit_coord_y","trajectory","batting_order","runs_batted_in","home_score_before","away_score_before","home_score_after","away_score_after","pitches_in_pa","is_hit","is_home_run","is_walk","is_hit_by_pitch","is_strikeout","is_at_bat","is_out","is_batted_ball","is_hard_hit","is_barrel_proxy","is_ground_ball","is_line_drive","is_fly_ball","is_popup","batted_ball_type","spray_direction","total_bases","outs_on_play","fielding_score_diff","batting_score_before","fielding_score_before","batting_score_after","fielding_score_after","batting_score_diff_before","batting_score_diff_after","runs_scored_on_play","runner_on_first_after","runner_on_second_after","runner_on_third_after","runner_on_first_before","runner_on_second_before","runner_on_third_before","base_state_before","base_state_after","is_risp_before","leader_pull_rate","leader_batted_balls","spray_method"
161155,"825014",2026-05-02,26,6,"879cb255-f633-38fc-8a20-c82a941d5364",4,"top",TRUE,"Cleveland Guardians","Athletics","Athletics","Cleveland Guardians","682052","Jacob Lopez","L","681807","David Fry","R",1,2,TRUE,FALSE,FALSE,"force_out","Forceout","force_out","In play, out(s)","SL","Slider",TRUE,TRUE,70.1,-18,6,5,105.51,167.39,"ground_ball",,0,2,1,2,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,1,1,2,1,2,-1,-1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
161088,"825014",2026-05-02,45,2,"f282e8be-6786-3019-999b-423a6e7ac12f",6,"top",TRUE,"Cleveland Guardians","Athletics","Athletics","Cleveland Guardians","682052","Jacob Lopez","L","681807","David Fry","R",0,0,FALSE,FALSE,FALSE,"home_run","Home Run","home_run","In play, run(s)","FF","Four-Seam Fastball",TRUE,TRUE,99.9,42,364,7,44.48,79.89,"fly_ball",,1,4,5,4,6,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"fly_ball","pull",4,0,-2,5,4,6,4,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
171521,"824120",2026-05-04,8,3,"c97e01f3-aa66-3eeb-888b-181d26d82ba5",2,"top",TRUE,"Cleveland Guardians","Kansas City Royals","Kansas City Royals","Cleveland Guardians","608379","Michael Wacha","R","681807","David Fry","R",1,1,FALSE,FALSE,FALSE,"home_run","Home Run","home_run","In play, run(s)","FC","Cutter",TRUE,TRUE,100.2,29,406,78,70.93,43.93,"fly_ball",,2,0,0,0,2,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"fly_ball","middle",4,0,-2,0,0,2,0,0,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
171425,"824120",2026-05-04,33,3,"5ab8163a-4925-32c9-899c-7cdd07cd8501",5,"top",TRUE,"Cleveland Guardians","Kansas City Royals","Kansas City Royals","Cleveland Guardians","608379","Michael Wacha","R","681807","David Fry","R",0,1,FALSE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","FF","Four-Seam Fastball",TRUE,TRUE,101.4,-10,14,4,123.11,138.4,"ground_ball",,0,4,2,4,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","opposite",0,1,2,2,4,2,4,-2,-2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
171357,"824120",2026-05-04,50,4,"e3a33fa5-5737-3825-9561-caceb130b2fb",7,"top",TRUE,"Cleveland Guardians","Kansas City Royals","Kansas City Royals","Cleveland Guardians","608379","Michael Wacha","R","681807","David Fry","R",2,2,TRUE,FALSE,FALSE,"single","Single","single","In play, no out","SL","Slider",TRUE,TRUE,90,17,267,8,98.55,71.99,"line_drive",,0,5,2,5,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"line_drive","middle",1,0,3,2,5,2,5,-3,-3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
181223,"824118",2026-05-06,27,4,"a505aabb-4efc-3efa-9f81-2390e1dc6ad9",4,"top",TRUE,"Cleveland Guardians","Kansas City Royals","Kansas City Royals","Cleveland Guardians","679883","Luinder Avila","R","681807","David Fry","R",0,1,TRUE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","SI","Sinker",TRUE,FALSE,91.7,-8,19,5,89.79,161.49,"ground_ball",,0,1,0,1,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,1,0,1,0,1,-1,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
181151,"824118",2026-05-06,42,6,"2993724e-0b1c-3b1a-8e3a-e9ef6d256233",6,"top",TRUE,"Cleveland Guardians","Kansas City Royals","Kansas City Royals","Cleveland Guardians","670167","John Schreiber","R","681807","David Fry","R",0,1,TRUE,FALSE,FALSE,"field_out","Flyout","field_out","In play, out(s)","FC","Cutter",TRUE,FALSE,82.5,37,292,7,92.75,87.05,"fly_ball",,0,1,2,1,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"fly_ball","pull",0,1,-1,2,1,2,1,1,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
181071,"824118",2026-05-06,58,4,"26050583-dac9-3b64-ac02-ba22bf0d59cc",8,"top",TRUE,"Cleveland Guardians","Kansas City Royals","Kansas City Royals","Cleveland Guardians","656638","Alex Lange","R","681807","David Fry","R",1,2,TRUE,FALSE,FALSE,"field_out","Groundout","field_out","In play, run(s)","SL","Slider",TRUE,TRUE,97.9,-8,13,5,107.9,164.76,"ground_ball",,1,1,2,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,-2,2,1,3,1,1,2,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,1,TRUE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
187563,"824443",2026-05-08,8,6,"37a630a2-d728-307f-9435-8146cd8b22f8",1,"bottom",FALSE,"Cleveland Guardians","Minnesota Twins","Cleveland Guardians","Minnesota Twins","687570","Connor Prielipp","L","681807","David Fry","R",1,2,TRUE,TRUE,FALSE,"field_out","Pop Out","field_out","In play, out(s)","FF","Four-Seam Fastball",TRUE,TRUE,71.3,86,19,2,127.72,212.13,"popup",,0,2,0,2,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"popup",,0,1,-2,2,0,2,0,2,2,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3,3,TRUE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
187427,"824443",2026-05-08,40,3,"463e04cf-dab2-3860-9eaa-0de4d7bc6501",5,"bottom",FALSE,"Cleveland Guardians","Minnesota Twins","Cleveland Guardians","Minnesota Twins","687570","Connor Prielipp","L","681807","David Fry","R",2,3,FALSE,TRUE,FALSE,"force_out","Forceout","force_out","In play, out(s)","CU","Curveball",TRUE,FALSE,61.3,-15,9,5,97.28,175.45,"ground_ball",,0,4,0,4,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,-4,4,0,4,0,4,4,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,2,TRUE,0.655172413793103,58,"mlbam_hit_coordinates_pull_rate_leader_v1"
