"player_id","player_name","team_id","team_name","position_abbreviation","position_type","roster_status","roster_type","is_active","is_pitcher","roster_pitcher_role","roster_verified_at","roster_method"
"650633","Michael King","135","San Diego Padres","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"601713","Nick Pivetta","135","San Diego Padres","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"681190","Randy Vásquez","135","San Diego Padres","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"592662","Robbie Ray","135","San Diego Padres","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"669392","Samad Taylor","135","San Diego Padres","LF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"823550","Sung-Mun Song","135","San Diego Padres","2B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"664034","Ty France","135","San Diego Padres","1B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"621111","Walker Buehler","135","San Diego Padres","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"593974","Wandy Peralta","135","San Diego Padres","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"593428","Xander Bogaerts","135","San Diego Padres","SS","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"673513","Yuki Matsui","135","San Diego Padres","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"656638","Alex Lange","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"543238","Anthony Gose","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"677951","Bobby Witt Jr.","118","Kansas City Royals","SS","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"695600","Carter Jensen","118","Kansas City Royals","C","Catcher","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"671162","Connor Thomas","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"518886","Craig Kimbrel","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"663738","Daniel Lynch IV","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"686555","Isaac Collins","118","Kansas City Royals","LF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"695506","Jac Caglianone","118","Kansas City Royals","RF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"670231","John Rave","118","Kansas City Royals","RF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"621016","Jose Cuas","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
