"batter_id","player_name","team","tracked_batted_balls","batted_balls_100_plus","average_exit_velocity","max_exit_velocity","batted_balls_100_plus_rate","perspective","tracking_method","source_through","generated_at_utc"
"547180","Bryce Harper","Philadelphia Phillies",333,95,90.1369369369369,113.5,0.285285285285285,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"656941","Kyle Schwarber","Philadelphia Phillies",263,95,93.1414448669202,113.2,0.361216730038023,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"691016","Tyler Soderstrom","Athletics",305,95,90.6973770491803,113.2,0.311475409836066,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"680776","Jarren Duran","Boston Red Sox",312,94,88.6538461538462,114.7,0.301282051282051,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"666018","Jonathan Aranda","Tampa Bay Rays",337,94,90.8913946587537,111.4,0.27893175074184,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"694192","Jackson Chourio","Milwaukee Brewers",272,93,91.9183823529412,113.3,0.341911764705882,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"572233","Christian Walker","Houston Astros",329,93,89.3677811550152,112.5,0.282674772036474,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"693307","Dillon Dingler","Detroit Tigers",336,93,88.8401785714286,110.8,0.276785714285714,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"669127","Shea Langeliers","Athletics",281,92,91.8427046263345,114.4,0.327402135231317,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"664040","Brandon Lowe","Pittsburgh Pirates",319,92,91.2416927899687,111.1,0.288401253918495,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"701538","Jackson Merrill","San Diego Padres",352,92,89.6056818181818,110.8,0.261363636363636,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"664761","Alec Bohm","Philadelphia Phillies",378,92,90.5346560846561,109.4,0.243386243386243,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"696100","Hunter Goodman","Colorado Rockies",263,91,90.5566539923954,116.2,0.346007604562738,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"682985","Riley Greene","Detroit Tigers",294,91,90.4982993197279,112.4,0.30952380952381,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"681624","Andy Pages","Los Angeles Dodgers",378,91,88.8539682539682,109.7,0.240740740740741,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"669003","Garrett Mitchell","Milwaukee Brewers",226,90,92.358407079646,115.5,0.398230088495575,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
