"game_id","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_team","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","bullpen_pitcher_count","bullpen_mean_availability","selected_relief_pitchers","bullpen_input_status"
"823543","away",1,"650490","Yandy Díaz","Tampa Bay Rays","New York Yankees",0.0635076329002115,0.0143499117749753,0.146694908509888,0.179864098865402,0.0295115142133818,0.00215934297839323,0.0280465625058374,0.53586602825191,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","home",7,"683011","Anthony Volpe","New York Yankees","Tampa Bay Rays",0.080502520548043,0.00393968683045011,0.225205583881891,0.154303305394401,0.0450837896371032,0.0022849508764446,0.0141618679857998,0.474518294845867,6,0.831325254408452,"Cam Booser | Alex Cook | Bryan Baker | Casey Legumina | Brody Hopkins | Kevin Kelly","availability_weighted_active_relievers"
"823543","home",8,"645305","Ali Sánchez","New York Yankees","Tampa Bay Rays",0.0675082909816653,0.0141107127783112,0.23777970084697,0.144555710681013,0.036014423004888,0.0028644882037191,0.0253824887438792,0.471784184759555,6,0.831325254408452,"Cam Booser | Alex Cook | Bryan Baker | Casey Legumina | Brody Hopkins | Kevin Kelly","availability_weighted_active_relievers"
"823543","home",9,"676609","José Caballero","New York Yankees","Tampa Bay Rays",0.0541700502065115,0.0193860369484818,0.244188332719119,0.148690940696342,0.0288485465643344,0.000478239785663774,0.0277989959004595,0.476438857179089,6,0.831325254408452,"Cam Booser | Alex Cook | Bryan Baker | Casey Legumina | Brody Hopkins | Kevin Kelly","availability_weighted_active_relievers"
"824222","away",1,"695578","James Wood","Washington Nationals","Detroit Tigers",0.161739598759839,0.00653317532641489,0.313888933802712,0.104025787521105,0.0286815875713195,0.000812827924425174,0.0526431508629556,0.331674938231229,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","away",2,"695734","Daylen Lile","Washington Nationals","Detroit Tigers",0.0617239711053752,0.010037321971739,0.224030185724743,0.125680999476255,0.0269444721443616,0.00491280588492493,0.0415806983496829,0.505089545342918,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","away",3,"686611","Dylan Crews","Washington Nationals","Detroit Tigers",0.0639609444367083,0.0204748811763676,0.252959151700024,0.119210858211921,0.02827962804742,0.00111807667575981,0.0295101366708088,0.484486323080991,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","away",4,"682928","CJ Abrams","Washington Nationals","Detroit Tigers",0.0904635043842859,0.0163180483126834,0.264783142142306,0.116421119024189,0.0279083966168095,0.0018835441462946,0.0532699176526065,0.428952327720825,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","away",5,"665953","Andrés Chaparro","Washington Nationals","Detroit Tigers",0.102067988946882,0.0222534601474221,0.233560633779319,0.118459414948734,0.0349557898713183,0.000450939893851763,0.051335627392473,0.436916145020001,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","away",6,"678391","Jorbit Vivas","Washington Nationals","Detroit Tigers",0.116432187841526,0.010099966235582,0.185491626673362,0.139684787782633,0.0258682265848887,0.00121967014261853,0.012933634264404,0.508269900474986,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","away",7,"691002","Yohandy Morales","Washington Nationals","Detroit Tigers",0.088498262863797,0.011710266082092,0.231812981544555,0.134286423221654,0.0310848065744882,0.00232087706538039,0.0331231446580064,0.467163237990027,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
