"opportunities","advancements_allowed","observed_advancement_rate","expected_advancement_rate","adjusted_advancement_rate","advancements_prevented","advancement_runs_saved","team","reliability","runs_saved_per_100","advancement_prevention_score","model_version","source_through","generated_at_utc"
804,311,0.38681592039801,0.393306081547301,0.391887203999013,5.21808956402973,-4.05633870120062,"Kansas City Royals",0.696707105719237,-0.504519738955301,97.9033991647949,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
850,372,0.437647058823529,0.402039664135054,0.415734989617581,-30.2662854852042,-13.1444258455437,"Los Angeles Angels",0.708333333333333,-1.5464030406522,79.2077182877733,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
697,261,0.374461979913917,0.385415071391352,0.382738990220954,7.63430475977241,-0.374710317173617,"Los Angeles Dodgers",0.665711556829035,-0.0537604472272047,105.784615259451,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
868,382,0.440092165898617,0.394619768704246,0.415686704923655,-39.4700407647144,-16.2884549872606,"Miami Marlins",0.71264367816092,-1.8765501137397,73.2078918769356,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
769,294,0.382314694408322,0.388009841263674,0.385096547348043,4.37956793176549,-1.98127008949025,"Milwaukee Brewers",0.68722073279714,-0.257642404355039,102.27713302231,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
939,398,0.423855165069223,0.397488691550011,0.409651481568964,-24.7581186345399,-11.6636263076814,"Minnesota Twins",0.728471683475562,-1.24213272712262,84.4459949216236,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
758,275,0.362796833773087,0.401155248384379,0.382756541807621,29.0756782753596,8.08989324402736,"New York Mets",0.684115523465704,1.06726823799833,125.614613684403,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
765,303,0.396078431372549,0.405296775367182,0.404619263008199,7.05203315589434,1.85134979455751,"New York Yankees",0.68609865470852,0.242006509092484,111.090971696401,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
807,326,0.403965303593556,0.419021687538232,0.415599652427168,12.1505018433535,0.667452475619957,"Philadelphia Phillies",0.697493517718237,0.0827078656282475,108.348818155657,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
856,349,0.407710280373832,0.392432518546208,0.398642043592011,-13.0777641244461,-7.4235555292909,"Pittsburgh Pirates",0.709784411276949,-0.867237795477909,91.3745646530038,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
868,351,0.404377880184332,0.408876807384367,0.408354336660281,3.90506880963078,-0.478370095413999,"San Diego Padres",0.71264367816092,-0.05511176214447,105.960748994728,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
886,380,0.428893905191874,0.406834644231149,0.417585377797229,-19.5445052112019,-6.49758862486732,"San Francisco Giants",0.716828478964401,-0.733362147276222,93.7462614726174,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
815,312,0.382822085889571,0.383463683738301,0.377907224592891,0.522902246714942,-2.82141386640289,"Seattle Mariners",0.699570815450644,-0.346185750478882,100.719999887302,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
893,400,0.447928331466965,0.404343278495302,0.426714262633277,-38.9214523036952,-14.0147378682492,"St. Louis Cardinals",0.718423169750603,-1.56939953731794,78.6449610508861,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
722,298,0.412742382271468,0.380285676989873,0.395951890664509,-23.4337412133118,-8.79379872570617,"Tampa Bay Rays",0.673507462686567,-1.21797766284019,85.4665456112808,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
773,327,0.423027166882277,0.403304722687509,0.413965359901518,-15.2454493625554,-7.70909825413199,"Texas Rangers",0.68833481745325,-0.997296022526777,89.2074382329952,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
791,321,0.405815423514539,0.401163412452805,0.402921137868862,-3.67974074983123,-3.33986785562212,"Toronto Blue Jays",0.693251533742331,-0.422233610066007,99.3679923011986,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
911,361,0.396267837541164,0.40340029613735,0.403213794728456,6.49766978112593,-0.867181080450027,"Washington Nationals",0.722442505947661,-0.0951900198079064,105.275969592826,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
