"team","offense_ops","offense_woba","offense_walk_rate","offense_strikeout_rate","offense_hard_hit_rate","opponent_ops","opponent_woba","pitching_strikeout_rate","pitching_walk_rate","pitching_hard_hit_rate","average_form","surging_signals","cooling_signals","recent_riser","recent_riser_score","bullpen_arms","bullpen_available","bullpen_monitor","bullpen_limited","bullpen_unavailable","bullpen_availability","bullpen_pitches_3d","run_generation_score","pitching_score","offense_rank","pitching_rank","run_prevention_rank","form_rank","bullpen_available_share","bullpen_unavailable_share","bullpen_state_score","bullpen_rank","team_index","team_index_rank","bullpen_health","team_story","team_intelligence_method","source_through","generated_at_utc"
"Detroit Tigers",0.725646002558701,0.315230792277502,0.0922409115572435,0.223729426659432,0.385363219011612,0.687875974267841,0.301258168503782,0.209045226130653,0.0868341708542714,0.379783815366637,53.15,4,2,"Eduardo Valencia (Hitter)",70.6,13,11,1,0,1,0.871111111111111,187,55.7,55.2,9,13,13,4,0.846153846153846,0.0769230769230769,87,3,55.5,10,"rested","Detroit Tigers ranks 9th in run generation and 13th in pitching performance, with a rested bullpen and 4 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Miami Marlins",0.731275045937826,0.318374562609349,0.0889721838626949,0.220359045176564,0.387862796833773,0.692332602154733,0.30382619468438,0.213768788272407,0.0907403971052143,0.39622641509434,47.3619047619048,1,4,"Jakob Marsee (Hitter)",73.1,11,6,1,3,1,0.703030303030303,231,64.8,46.2,6,16,16,24,0.545454545454545,0.363636363636364,60,25,55.5,10,"taxed","Miami Marlins ranks 6th in run generation and 16th in pitching performance, with a taxed bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Cleveland Guardians",0.700002858379795,0.306074401041135,0.0893144512391374,0.203411651110396,0.354045907720844,0.681054024207369,0.297994029452979,0.249020248203788,0.0850751143043762,0.389809236947791,51.97,4,3,"Angel Martínez (Hitter)",71.6,14,12,0,1,1,0.878095238095238,105,34.3,70.9,24,7,7,8,0.857142857142857,0.142857142857143,86.1,4,52.6,13,"rested","Cleveland Guardians ranks 24th in run generation and 7th in pitching performance, with a rested bullpen and 4 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Texas Rangers",0.7199714003621,0.313022473945666,0.0854379365932294,0.229267418950385,0.41292735042735,0.708318670241772,0.307325177184828,0.227778700780861,0.0772553580328958,0.385571533024616,51.665,2,1,"Danny Jansen (Hitter)",80.6,12,6,4,1,1,0.716944444444444,256,47.8,56.6,17,12,12,10,0.5,0.166666666666667,62.7,24,52.2,14,"taxed","Texas Rangers ranks 17th in run generation and 12th in pitching performance, with a taxed bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Minnesota Twins",0.722680687841613,0.314259039210651,0.0825437317784257,0.206086005830904,0.380063124671226,0.712422036856306,0.309821075895311,0.232831375144796,0.0863809366208837,0.385111662531017,47.745,2,4,"Jeff Hoffman (Pitcher)",79.4,9,4,1,3,1,0.636049382716049,178,46,50.2,19,15,15,23,0.444444444444444,0.444444444444444,51.1,28,48.1,15,"taxed","Minnesota Twins ranks 19th in run generation and 15th in pitching performance, with a taxed bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Chicago White Sox",0.71879003188367,0.313169896764227,0.095864336390379,0.24225644575186,0.396718665949435,0.704116018833693,0.307306694607763,0.214474991719112,0.0867837032129845,0.397270290031684,45.805,0,3,"Kyle Teel (Hitter)",64.1,11,8,2,0,1,0.821414141414141,302,48.4,44.8,15,17,17,29,0.727272727272727,0.0909090909090909,79.2,9,46.6,16,"usable","Chicago White Sox ranks 15th in run generation and 17th in pitching performance, with a usable bullpen and 0 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Seattle Mariners",0.694210166292413,0.30551914469506,0.0940922668436775,0.223697311649519,0.382920110192838,0.703028203746907,0.304575510050178,0.231972529568867,0.0696299122472339,0.391643454038997,51.3647058823529,1,1,"Seranthony Domínguez (Pitcher)",66,10,6,1,3,0,0.764888888888889,122,31,62.1,27,10,10,11,0.6,0.3,65.8,22,46.5,17,"usable","Seattle Mariners ranks 27th in run generation and 10th in pitching performance, with a usable bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Arizona Diamondbacks",0.720608662270226,0.312399797272471,0.0866655512799063,0.194579220344654,0.384378698224852,0.718391080824493,0.310413536795579,0.184065475196259,0.075329881409721,0.374856618490479,52.7789473684211,2,0,"Nolan Arenado (Hitter)",75.5,11,8,1,2,0,0.833636363636364,63,48.4,43.4,15,19,19,6,0.727272727272727,0.181818181818182,77.1,14,45.9,18,"usable","Arizona Diamondbacks ranks 15th in run generation and 19th in pitching performance, with a usable bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"New York Mets",0.707474096240568,0.307610405299528,0.0851023858726282,0.222430959984971,0.424476295479603,0.727569030454845,0.31750610043849,0.238709677419355,0.0931612903225806,0.385470424771735,50.565,2,2,"Austin Warren (Pitcher)",73.1,16,11,2,2,1,0.802916666666667,165,43.1,33.6,22,22,22,15,0.6875,0.1875,74.2,16,38.4,19,"usable","New York Mets ranks 22nd in run generation and 22nd in pitching performance, with a usable bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Houston Astros",0.724311991502201,0.312703811831721,0.0817880794701987,0.215728476821192,0.372865046908829,0.716808624837378,0.313745869079877,0.232146449406558,0.100784550392275,0.381408276714021,48.4722222222222,2,3,"Ethan Pecko (Pitcher)",71.2,10,6,2,0,2,0.697444444444445,184,37.8,38.4,23,20,20,22,0.6,0.2,66.9,21,38.1,20,"usable","Houston Astros ranks 23rd in run generation and 20th in pitching performance, with a usable bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"San Francisco Giants",0.72717899904948,0.313592272983841,0.0772357723577236,0.226513098464318,0.390974967061924,0.717265694423083,0.313184232099093,0.184103984658001,0.0909865757511187,0.375675675675676,49.2,1,2,"Matt Wilkinson (Pitcher)",79.2,14,10,0,2,2,0.752619047619048,235,43.4,31.6,21,23,23,20,0.714285714285714,0.285714285714286,72.2,18,37.5,21,"usable","San Francisco Giants ranks 21st in run generation and 23rd in pitching performance, with a usable bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Athletics",0.725691814928726,0.314848130212405,0.0836408364083641,0.222456510279389,0.386504653567735,0.789007082282541,0.340388417893144,0.219094247246022,0.0994929183423676,0.369622245540399,48.6590909090909,2,2,"Luis Medina (Pitcher)",72.8,17,13,1,2,1,0.820980392156863,315,50.3,24.5,14,25,25,21,0.764705882352941,0.176470588235294,79.1,11,37.4,22,"usable","Athletics ranks 14th in run generation and 25th in pitching performance, with a usable bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Baltimore Orioles",0.700846737328669,0.304358815746143,0.0858662613981763,0.258548632218845,0.424689899586533,0.717579336939979,0.311993423406278,0.210865561694291,0.0839779005524862,0.384758364312268,49.6263157894737,2,2,"Josh Walker (Pitcher)",69.5,11,10,1,0,0,0.908282828282828,124,34.3,38.4,24,20,20,16,0.909090909090909,0,93.2,1,36.3,23,"rested","Baltimore Orioles ranks 24th in run generation and 20th in pitching performance, with a rested bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Toronto Blue Jays",0.691845557430267,0.301826723280054,0.0746812386156649,0.183363691560413,0.334440753045404,0.702722458263018,0.307615747429104,0.223592906707787,0.0962220508866615,0.375260115606936,50.805,1,0,"Kazuma Okamoto (Hitter)",66.5,11,8,2,1,0,0.822020202020202,146,16.2,51,29,14,14,14,0.727272727272727,0.0909090909090909,79.2,9,33.6,24,"usable","Toronto Blue Jays ranks 29th in run generation and 14th in pitching performance, with a usable bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Colorado Rockies",0.741723812832574,0.321099336834386,0.0806875986669006,0.222767935449921,0.360981912144703,0.825283470733958,0.351451565871439,0.180083857442348,0.0788259958071279,0.396546762589928,46.865,1,3,"Connor Norby (Hitter)",67.8,10,5,2,2,1,0.683333333333333,299,52.6,14,13,29,29,28,0.5,0.3,58.7,27,33.3,25,"taxed","Colorado Rockies ranks 13th in run generation and 29th in pitching performance, with a taxed bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Washington Nationals",0.723707097131674,0.313997490665822,0.0892648774795799,0.219175418125243,0.377592165898617,0.757023745244974,0.32844849844303,0.2140085766796,0.0941392689401675,0.400967644390686,51.1333333333333,2,1,"Riley Cornelio (Pitcher)",70.5,18,13,2,2,1,0.821543209876543,142,47.1,16.4,18,28,28,12,0.722222222222222,0.166666666666667,77,15,31.8,26,"usable","Washington Nationals ranks 18th in run generation and 28th in pitching performance, with a usable bullpen and 2 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Kansas City Royals",0.71358047837108,0.309123129778988,0.0808327081770442,0.205176294073518,0.411449973247726,0.758625426254369,0.327848619967673,0.19286094832179,0.0898597052033387,0.390293225480283,47.0823529411765,0,2,"Connor Thomas (Pitcher)",62.3,12,10,2,0,0,0.8675,165,45,17.4,20,27,27,27,0.833333333333333,0,88.2,2,31.2,27,"rested","Kansas City Royals ranks 20th in run generation and 27th in pitching performance, with a rested bullpen and 0 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Los Angeles Angels",0.67945672534271,0.29809042261825,0.0854443104141536,0.255930840369923,0.370219435736677,0.703845019702864,0.308291455838394,0.228513422061809,0.0972253552898715,0.391304347826087,53.95,1,0,"Mitch Farris (Pitcher)",68.5,11,5,4,1,1,0.689090909090909,189,11.2,44.1,30,18,18,2,0.454545454545455,0.181818181818182,59.2,26,27.6,28,"taxed","Los Angeles Angels ranks 30th in run generation and 18th in pitching performance, with a taxed bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"St. Louis Cardinals",0.69743030701182,0.304877800108711,0.0808980755523877,0.209550962223806,0.404282765737874,0.723565434982506,0.315012728630217,0.204807310290028,0.087206992451331,0.398913354303689,47.155,1,2,"Justin Bruihl (Pitcher)",67.6,11,4,4,1,2,0.611515151515151,236,33.8,20.9,26,26,26,26,0.363636363636364,0.272727272727273,50.4,30,27.3,29,"taxed","St. Louis Cardinals ranks 26th in run generation and 26th in pitching performance, with a taxed bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
"Cincinnati Reds",0.698313584677916,0.303595505708329,0.0924055368499814,0.25215114104003,0.386535113174695,0.758143751969787,0.328916404280807,0.207669919534326,0.102208525937339,0.393684746625923,42.0578947368421,1,5,"Elly De La Cruz (Hitter)",67,12,9,2,1,0,0.83462962962963,188,28.6,11.2,28,30,30,30,0.75,0.0833333333333333,80.9,7,19.9,30,"rested","Cincinnati Reds ranks 28th in run generation and 30th in pitching performance, with a rested bullpen and 1 recent risers.","balanced_run_generation_pitching_index_recent_bullpen_quartiles_v3","2026-09-20","2026-09-21 16:21:34 UTC"
