"game_id","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_team","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","bullpen_pitcher_count","bullpen_mean_availability","selected_relief_pitchers","bullpen_input_status"
"824464","away",9,"500743","Miguel Rojas","Los Angeles Dodgers","Cincinnati Reds",0.0773217221195721,0.0134402898393236,0.154200275115009,0.150356159679489,0.0433407546092435,0.000797205350958511,0.0148732030184453,0.545670390267959,6,0.836794910786699,"Brock Burke | Luis Mey | Emilio Pagán | Tony Santillan | Graham Ashcraft | Julian Garcia","availability_weighted_active_relievers"
"824464","home",1,"667472","Dane Myers","Cincinnati Reds","Los Angeles Dodgers",0.114122875567177,0.00608113696313019,0.259420014547424,0.148679746595121,0.0322626849988876,0.000852710398156815,0.0238033546398351,0.414777476290268,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",2,"682829","Elly De La Cruz","Cincinnati Reds","Los Angeles Dodgers",0.108138989022212,0.00272301482416628,0.291563712156136,0.132689172154515,0.0457472802985619,0.0092195580634069,0.0471913407987192,0.362726932682283,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",3,"701398","Sal Stewart","Cincinnati Reds","Los Angeles Dodgers",0.092517952815481,0.00445928719699857,0.246123381234828,0.136009127045216,0.0360337626260281,0.000376881293230775,0.0464409498964286,0.438038657891789,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",4,"663886","Tyler Stephenson","Cincinnati Reds","Los Angeles Dodgers",0.111857311997619,0.00531059811196146,0.279547077122908,0.119518602097252,0.0439042984982751,0.000590994556690252,0.0343942981635199,0.404876819451774,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",5,"682877","Juan Brito","Cincinnati Reds","Los Angeles Dodgers",0.0856860788725714,0.0111140139495662,0.224878155926566,0.131900590776836,0.0402936832353007,0.00350530123774329,0.0298580269605041,0.472764149040913,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",6,"680574","Matt McLain","Cincinnati Reds","Los Angeles Dodgers",0.101088932756765,0.0086224066363514,0.296368619659736,0.088896083039728,0.036711413872304,0.000559501359244102,0.0323969282420095,0.435356114433862,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",7,"699302","Héctor Rodríguez","Cincinnati Reds","Los Angeles Dodgers",0.0743124978315791,0.010028048312977,0.245399079449464,0.139266263100352,0.0338103356161569,0.00215133594645744,0.0366732954117855,0.458359144331229,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",8,"663647","Ke'Bryan Hayes","Cincinnati Reds","Los Angeles Dodgers",0.068891178259326,0.00608121477364866,0.235671538411909,0.101014771762884,0.016993359788652,0.00507933877468543,0.0251966113344329,0.541071986894462,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
"824464","home",9,"670770","TJ Friedl","Cincinnati Reds","Los Angeles Dodgers",0.0844605410793045,0.0167765631397459,0.240355954245693,0.107126190375033,0.0282862548265502,0.00565800577198953,0.0202641033299198,0.497072387231764,6,0.967423757730859,"Blake Treinen | Jack Dreyer | Seth Halvorsen | Landon Knack | Evan Phillips | Alex Vesia","availability_weighted_active_relievers"
