player_id,player_name,team,forecast_season,horizon,projected_games,projected_plate_appearances,projected_home_runs,projected_batting_average,projected_on_base_percentage,projected_slugging_percentage,role_context,comparable_count,source_through,projection_method
682928,CJ Abrams,WSN,2029,3,154,648,18,0.270167928877181,0.32876916207769,0.433318758198513,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
691718,Pete Crow-Armstrong,CHC,2027,1,162,646,24,0.270407423517471,0.330014224751067,0.464838649505689,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
691718,Pete Crow-Armstrong,CHC,2028,2,156,622,23,0.270407423517471,0.330014224751067,0.464838649505689,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
691718,Pete Crow-Armstrong,CHC,2029,3,151,602,22,0.270407423517471,0.330014224751067,0.464838649505689,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
666182,Bo Bichette,NYM,2027,1,162,712,20,0.285141509433962,0.337063857801185,0.445121951219512,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
666182,Bo Bichette,NYM,2028,2,158,697,20,0.285141509433962,0.337063857801185,0.445121951219512,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
666182,Bo Bichette,NYM,2029,3,154,678,19,0.285141509433962,0.337063857801185,0.445121951219512,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
701762,Nick Kurtz,ATH,2027,1,162,697,32,0.276491732566499,0.373281393217232,0.495937655446858,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
701762,Nick Kurtz,ATH,2028,2,162,697,32,0.276491732566499,0.373281393217232,0.495937655446858,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
701762,Nick Kurtz,ATH,2029,3,162,697,32,0.276491732566499,0.373281393217232,0.495937655446858,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
694384,Nolan Schanuel,LAA,2027,1,161,684,11,0.272519717725197,0.356838905775076,0.380013831258645,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
694384,Nolan Schanuel,LAA,2028,2,147,624,10,0.272519717725197,0.356838905775076,0.380013831258645,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
694384,Nolan Schanuel,LAA,2029,3,147,624,10,0.272519717725197,0.356838905775076,0.380013831258645,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
687263,Zach Neto,LAA,2027,1,159,663,22,0.267069205759405,0.33049147442327,0.450838241957408,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
687263,Zach Neto,LAA,2028,2,146,607,20,0.267069205759405,0.33049147442327,0.450838241957408,regular role,20,2026-07-26,weighted_comparable_season_segment_v1
