"current_game_id","team","opponent","role","player_id","player_name","games","plate_appearances","hits","doubles","triples","home_runs","runs_batted_in","walks","strikeouts","innings_outs","report_date","source_through","generated_at_utc","method"
"824222","Detroit Tigers","Washington Nationals","Hitter","701162","Ben Malgeri",1,4,2,1,0,1,3,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","595879","Javier Báez",1,3,1,0,0,1,2,1,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","679529","Spencer Torkelson",1,4,1,0,0,1,2,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","650402","Gleyber Torres",1,4,0,0,0,0,0,1,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","656716","Zach McKinstry",1,1,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","682985","Riley Greene",1,4,0,0,0,0,0,1,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","690291","Jace Jung",1,1,0,0,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","807726","John Peck",1,4,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Hitter","814430","Brett Callahan",1,1,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Pitcher","672456","Keider Montero",1,,,,,,,1,5,12,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
