"opportunities","advancements_allowed","observed_advancement_rate","expected_advancement_rate","adjusted_advancement_rate","advancements_prevented","advancement_runs_saved","team","reliability","runs_saved_per_100","advancement_prevention_score","model_version","source_through","generated_at_utc"
661,245,0.370650529500756,0.384628328869884,0.380262407245138,9.23932538299308,0.00258679571989377,"Los Angeles Dodgers",0.653808110781405,0.000391345797260781,107.204312223186,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
782,337,0.430946291560102,0.391482223762341,0.40957532532925,-30.860901017849,-13.4336749637097,"Miami Marlins",0.690812720848057,-1.71786124855623,80.4951375242862,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
716,277,0.386871508379888,0.389073565856301,0.388255630591671,1.57667315311131,-3.30881062933193,"Milwaukee Brewers",0.671669793621013,-0.462124389571499,100.159481378982,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
852,357,0.419014084507042,0.392641158134031,0.405716854053087,-22.4697332698052,-11.0379249347693,"Minnesota Twins",0.708818635607321,-1.2955310956302,86.9425053697021,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
673,245,0.364041604754829,0.399265277214442,0.37989995257831,23.7055315653194,6.66415649347889,"New York Mets",0.657869012707722,0.990216418050355,122.354551547617,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
687,268,0.390101892285298,0.406734109650597,0.403175273790141,11.4263333299603,4.14565150264125,"New York Yankees",0.662487945998071,0.603442722364082,116.500955140513,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
704,278,0.394886363636364,0.413179431091377,0.408001491129536,12.8783194883296,0.547688229694238,"Philadelphia Phillies",0.667931688804554,0.0777966235361133,108.473740062495,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
781,322,0.412291933418694,0.391537734572495,0.398812375843466,-16.2090292988816,-7.63338751757701,"Pittsburgh Pirates",0.690539345711759,-0.977386365886941,92.0935776623715,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
746,303,0.406166219839142,0.405852155273979,0.407665569888802,-0.234292165611537,-2.26184182854725,"San Diego Padres",0.680656934306569,-0.303195955569337,102.631223266242,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
809,363,0.448702101359703,0.411896338632158,0.425502417250944,-29.7758620465838,-9.39295783314377,"San Francisco Giants",0.698015530629853,-1.16105782857154,89.1593829605441,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
745,284,0.381208053691275,0.385446123255465,0.38067701045679,3.15736182532145,-2.20287936913205,"Seattle Mariners",0.680365296803653,-0.295688505923765,102.747344234735,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
861,383,0.444831591173055,0.405699118738704,0.426323377165636,-33.6930587659756,-12.0728349813012,"St. Louis Cardinals",0.710982658959538,-1.40218757041826,85.2279882203068,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
679,277,0.407952871870398,0.37951871292131,0.393688944752478,-19.3067939264307,-7.79436301324311,"Tampa Bay Rays",0.659863945578231,-1.1479179695498,89.6609307466862,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
