"lineup_spot","player","team","sims","avg_PA","avg_starter_PA","avg_bullpen_PA","avg_H","avg_BB","avg_K","avg_HR","avg_XBH","avg_TB","p_1_plus_H","p_2_plus_H","p_1_plus_BB","p_2_plus_K","p_1_plus_HR","p_1_plus_XBH","p_2_plus_TB","p_3_plus_TB","H_p10","H_p90","TB_p10","TB_p90","player_id","game_id","game_date","opponent","opposing_starter_id","opposing_starter","opposing_starter_hand","expected_team_runs","model_version","publication_status"
9,"Chadwick Tromp","Baltimore Orioles",2000,3.5895,2.4485,1.141,0.7865,0.2735,0.7545,0.1115,0.3015,1.3305,0.5795,0.182,0.2485,0.163,0.106,0.2675,0.3255,0.188,0,2,0,4,"644433","824245","2026-07-27","Detroit Tigers",672456,"Keider Montero","R",3.99401026795557,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"Kevin McGonigle","Detroit Tigers",2000,4.4655,3.0365,1.429,0.995,0.649,0.6705,0.075,0.3265,1.4915,0.6745,0.2625,0.497,0.129,0.0735,0.292,0.4135,0.2005,0,2,0,4,"805808","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Dillon Dingler","Detroit Tigers",2000,4.324,2.982,1.342,1.011,0.324,0.954,0.216,0.4415,1.9025,0.6815,0.2675,0.2915,0.2475,0.1975,0.3675,0.446,0.285,0,2,0,5,"693307","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"Colt Keith","Detroit Tigers",2000,4.1945,2.908,1.2865,0.9575,0.2645,0.9005,0.1175,0.3335,1.5405,0.667,0.2425,0.238,0.225,0.1105,0.287,0.3775,0.2125,0,2,0,4,"690993","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Riley Greene","Detroit Tigers",2000,4.099,2.8035,1.2955,0.938,0.523,1.067,0.118,0.3135,1.5,0.6605,0.234,0.433,0.292,0.114,0.28,0.386,0.2035,0,2,0,4,"682985","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Spencer Torkelson","Detroit Tigers",2000,4.0245,2.678,1.3465,0.721,0.455,1.2915,0.1885,0.333,1.4425,0.549,0.1525,0.3725,0.3905,0.1735,0.2885,0.3315,0.219,0,2,0,4,"679529","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Zach McKinstry","Detroit Tigers",2000,3.9415,2.535,1.4065,0.7255,0.396,0.696,0.0505,0.262,1.108,0.5505,0.1525,0.337,0.146,0.05,0.234,0.289,0.1405,0,2,0,3,"656716","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"Hao-Yu Lee","Detroit Tigers",2000,3.8395,2.3765,1.463,0.9115,0.242,0.9535,0.1125,0.322,1.4755,0.6545,0.214,0.224,0.243,0.1095,0.2835,0.3625,0.208,0,2,0,4,"701678","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"James Outman","Detroit Tigers",2000,3.72,2.2265,1.4935,0.8205,0.34,0.804,0.098,0.2735,1.302,0.6065,0.1895,0.3005,0.1875,0.0955,0.2505,0.3325,0.172,0,2,0,4,"681546","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
9,"Matt Vierling","Detroit Tigers",2000,3.593,2.119,1.474,0.671,0.26,0.654,0.053,0.281,1.074,0.522,0.1335,0.239,0.127,0.052,0.254,0.296,0.1335,0,2,0,3,"663837","824245","2026-07-27","Baltimore Orioles",680694,"Kyle Bradish","R",4.23120359288158,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"Corbin Carroll","Arizona Diamondbacks",2000,4.522,3.0165,1.5055,1.022,0.4835,0.962,0.162,0.571,1.9515,0.686,0.2775,0.402,0.257,0.1525,0.46,0.509,0.318,0,2,0,5,"682998","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Geraldo Perdomo","Arizona Diamondbacks",2000,4.382,2.956,1.426,0.867,0.5945,0.5635,0.072,0.303,1.3335,0.615,0.214,0.4775,0.102,0.07,0.2655,0.35,0.1795,0,2,0,4,"672695","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"Gabriel Moreno","Arizona Diamondbacks",2000,4.2555,2.8705,1.385,1.1285,0.479,0.654,0.0965,0.355,1.7,0.723,0.317,0.4035,0.1235,0.0925,0.308,0.445,0.2485,0,2,0,4,"672515","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Ketel Marte","Arizona Diamondbacks",2000,4.139,2.7625,1.3765,0.9705,0.2705,0.602,0.1955,0.39,1.7665,0.6775,0.245,0.2445,0.107,0.1835,0.336,0.415,0.2685,0,2,0,5,"606466","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Max Kepler","Arizona Diamondbacks",2000,4.048,2.618,1.43,0.8625,0.3125,0.793,0.1165,0.3415,1.4555,0.61,0.2105,0.276,0.1785,0.1115,0.295,0.363,0.206,0,2,0,4,"596146","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Tyler Locklear","Arizona Diamondbacks",2000,3.9555,2.465,1.4905,0.902,0.383,0.7175,0.159,0.254,1.479,0.644,0.217,0.3275,0.1585,0.1475,0.2265,0.3335,0.1955,0,2,0,4,"682988","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"Adrian Del Castillo","Arizona Diamondbacks",2000,3.869,2.3095,1.5595,0.799,0.279,0.982,0.116,0.269,1.3085,0.591,0.18,0.2465,0.2555,0.1095,0.2385,0.3205,0.165,0,2,0,4,"680728","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"Ildemaro Vargas","Arizona Diamondbacks",2000,3.7675,2.1745,1.593,0.9225,0.2475,0.3975,0.0705,0.2965,1.374,0.664,0.2245,0.227,0.053,0.069,0.2645,0.363,0.1775,0,2,0,4,"545121","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
9,"Ryan Waldschmidt","Arizona Diamondbacks",2000,3.6575,2.081,1.5765,0.891,0.251,1.023,0.0225,0.381,1.348,0.6345,0.215,0.229,0.266,0.0225,0.3375,0.4,0.186,0,2,0,3,"814439","823353","2026-07-27","Pittsburgh Pirates",656605,"Mitch Keller","R",4.46443336142945,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"Jake Mangum","Pittsburgh Pirates",2000,4.675,3.1415,1.5335,1.3365,0.267,0.7405,0.038,0.3455,1.774,0.783,0.4105,0.235,0.165,0.038,0.2985,0.5115,0.2715,0,3,0,4,"663968","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Brandon Lowe","Pittsburgh Pirates",2000,4.5485,3.066,1.4825,1.0985,0.422,1.01,0.2395,0.47,2.067,0.7085,0.3115,0.3535,0.2695,0.225,0.3935,0.4835,0.341,0,2,0,5,"664040","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"Bryan Reynolds","Pittsburgh Pirates",2000,4.4115,2.992,1.4195,1.1065,0.579,0.885,0.1565,0.443,1.885,0.721,0.308,0.456,0.211,0.1475,0.3775,0.4765,0.2875,0,2,0,5,"668804","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Esmerlyn Valdez","Pittsburgh Pirates",2000,4.2815,2.9275,1.354,1.106,0.533,1.2045,0.45,0.45,2.456,0.719,0.314,0.4325,0.3425,0.38,0.38,0.483,0.3925,0,2,0,5,"699013","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Ryan O'Hearn","Pittsburgh Pirates",2000,4.158,2.845,1.313,1.118,0.3255,0.793,0.199,0.312,1.8385,0.7255,0.316,0.2825,0.1825,0.185,0.2765,0.438,0.258,0,2,0,5,"656811","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Nick Gonzales","Pittsburgh Pirates",2000,4.063,2.7395,1.3235,1.23,0.306,0.631,0.0655,0.322,1.702,0.764,0.3565,0.276,0.1215,0.0635,0.277,0.462,0.241,0,2,0,4,"693304","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"Jacob Gonzalez","Pittsburgh Pirates",2000,3.9695,2.5815,1.388,0.947,0.345,0.7675,0.132,0.3495,1.575,0.6495,0.242,0.3075,0.173,0.123,0.3005,0.3875,0.228,0,2,0,4,"694378","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"Tyler Callihan","Pittsburgh Pirates",2000,3.887,2.4195,1.4675,0.9245,0.3275,0.985,0.126,0.4015,1.6005,0.658,0.219,0.2905,0.254,0.118,0.344,0.405,0.233,0,2,0,4,"682997","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
9,"Henry Davis","Pittsburgh Pirates",2000,3.7845,2.269,1.5155,0.738,0.343,0.723,0.1375,0.259,1.2795,0.5585,0.1505,0.298,0.1515,0.1315,0.236,0.2975,0.1815,0,2,0,4,"680779","823353","2026-07-27","Arizona Diamondbacks",518876,"Merrill Kelly","R",5.82297012935818,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"Trea Turner","Philadelphia Phillies",2000,4.4985,3.563,0.9355,0.9975,0.3175,0.9405,0.1365,0.331,1.6215,0.6745,0.2655,0.276,0.232,0.1315,0.2915,0.399,0.239,0,2,0,4,"607208","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
