"team","fielding_runs","range_runs","arm_runs","double_play_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","innings","players","official_fielding_rank","source","model_version","source_through","generated_at_utc"
"Atlanta Braves",6.18636037581977,7.10619682902051,7.78621534526183,-1.78728712577725,-6.74322107994253,-0.125612064583118,-6.59348517961539,-0.0241238357440359,5398,24,11,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Miami Marlins",3.50501189440373,2.13678572016967,-7.44966328503852,0.164834048937952,9.56947641123,3.78131734598968,7.1716673545481,-1.38350828930778,4957.66666666667,20,12,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Tampa Bay Rays",2.95467213773468,6.14863826044997,-2.07068594175031,1.53102612772898,0.378627310673186,2.89312770478273,-1.47477563920977,-1.03972475489977,4579.88888888889,16,13,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Cleveland Guardians",0.651037596353989,3.11911611274592,1.28684676714309,-1.38294033321346,-4.28280146349603,1.0191009733577,-3.43430533294294,-1.86759710391078,4948.88888888889,22,14,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Texas Rangers",0.121818321934081,13.5444899022735,-5.96263924141116,-2.6293707577453,-6.99394766797077,-6.84432607118369,-2.22027872181747,2.07065712503039,4606.77777777778,20,15,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Chicago White Sox",-1.8760151462075,7.93305996539576,-1.57339836169012,5.67090444269718,-11.955458051268,-8.86673466799436,2.2376565265384,-5.326379909812,5611.55555555556,26,16,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Philadelphia Phillies",-2.62300452952941,2.07592069395339,-3.16677318931816,-5.7602910821466,9.35006698046221,4.02877657589419,5.37033224860723,-0.0490418440392206,5074.44444444444,19,17,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Houston Astros",-4.21164647748289,-1.89720573822075,-2.06862342074807,-0.561890454389906,-0.153567580963423,3.17451219921741,-1.72738494987462,-1.60069483030621,4595.11111111111,22,18,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Washington Nationals",-4.94905308626651,-12.7001434428865,1.16321722065369,5.28028779242668,1.31406270543329,5.55911808587614,-3.39066422475413,-0.854391155688717,4637.44444444444,18,19,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Milwaukee Brewers",-5.56370606737212,3.41724744751122,-4.8978977927157,4.61715088464749,-5.89096436369544,-6.6672644704807,3.00859237149588,-2.23229226471062,4896.44444444444,23,20,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
