"opportunities","advancements_allowed","observed_advancement_rate","expected_advancement_rate","adjusted_advancement_rate","advancements_prevented","advancement_runs_saved","player_id","player_name","team","position","reliability","runs_saved_per_100","advancement_prevention_score","model_version","source_through","generated_at_utc"
4,2,0.5,0.556439130137553,0.548903566561154,0.225756520550213,0.0491826793528659,"553869","Elias Díaz","Texas Rangers","C",0.0540540540540541,1.22956698382165,101.90616998963,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
17,2,0.117647058823529,0.386512306518031,0.340358826158857,4.57070921080652,1.08375002911671,"553993","Eugenio Suárez","Cincinnati Reds","3B",0.195402298850575,6.37500017127477,107.667529278534,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
50,18,0.36,0.440316557364104,0.410208186613762,4.01582786820522,1.06327280090017,"571448","Nolan Arenado","Arizona Diamondbacks","3B",0.416666666666667,2.12654560180035,101.174307556277,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
4,2,0.5,0.50478013371329,0.504587676273438,0.0191205348531605,0.0938316752200532,"571510","Matthew Boyd","Chicago Cubs","P",0.0540540540540541,2.34579188050133,101.632252857061,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,0,0,0.530373279614165,0.513972003256387,0.530373279614165,0.106074655922833,"571771","Enrique Hernández","Los Angeles Dodgers","1B",0.0140845070422535,10.6074655922833,104.297466458343,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
5,2,0.4,0.350432664623697,0.337800213740778,-0.247836676881515,-0.0454182146105895,"571771","Enrique Hernández","Los Angeles Dodgers","3B",0.0666666666666667,-0.90836429221179,97.6059369537256,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,0,0,0.296383140211666,0.282903707568001,0.592766280423332,0.245045171622312,"571771","Enrique Hernández","Los Angeles Dodgers","CF",0.0277777777777778,12.2522585811156,111.102297772167,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,1,0.333333333333333,0.45933142636055,0.447138778026251,0.37799427908165,0.162060611904319,"571771","Enrique Hernández","Los Angeles Dodgers","LF",0.0410958904109589,5.40202039681064,103.50508243912,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,0,0,0.29475289700447,0.290601516553231,0.29475289700447,0.0736882242511175,"571882","Derek Law","Arizona Diamondbacks","P",0.0140845070422535,7.36882242511175,101.962182828011,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
49,15,0.306122448979592,0.397884823302941,0.364607801346328,4.49635634184409,1.59170217909386,"571970","Max Muncy","Los Angeles Dodgers","3B",0.411764705882353,3.2483717940691,103.798195794937,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
46,20,0.434782608695652,0.535100323911054,0.503610548450029,4.61461489990847,1.07030681295651,"572233","Christian Walker","Houston Astros","1B",0.396551724137931,2.32675394120982,106.662227244452,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,0,0,0.219744468683352,0.216649514407131,0.219744468683352,0.0549361171708379,"572955","Pierce Johnson","Cincinnati Reds","P",0.0140845070422535,5.49361171708379,101.540704372039,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.557758720574444,0.563987834483814,-0.442241279425556,-0.110560319856389,"573009","Joe Mantiply","Toronto Blue Jays","P",0.0140845070422535,-11.0560319856389,97.8209526423557,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,2,0.666666666666667,0.608178879548619,0.610242691079949,-0.175463361354142,0.0747673667403904,"573124","Taylor Rogers","Minnesota Twins","P",0.0410958904109589,2.49224555801301,101.47944968156,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,1,0.5,0.74348825649213,0.736748075510362,0.48697651298426,0.097395302596852,"573204","Caleb Thielbar","Chicago Cubs","P",0.0277777777777778,4.8697651298426,101.966784952941,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,2,1,0.695214426816492,0.708481596943906,-0.609571146367017,-0.212154337896225,"573262","Mike Yastrzemski","Atlanta Braves","CF",0.0277777777777778,-10.6077168948113,92.9989704948593,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
61,18,0.295081967213115,0.287111848694987,0.299102266454494,-0.48617722960578,-0.528841343788273,"573262","Mike Yastrzemski","Atlanta Braves","LF",0.465648854961832,-0.866953022603726,97.2015604838264,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
57,24,0.421052631578947,0.389606960268118,0.403485667991198,-1.7924032647173,-0.679967510158307,"573262","Mike Yastrzemski","Atlanta Braves","RF",0.448818897637795,-1.19292545641808,99.0895671506745,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
