"team","note_order","note_category","subject","headline","evidence","signal_score","destination","note_method","source_through","generated_at_utc"
"Cleveland Guardians",1,"team_identity","Cleveland Guardians","Cleveland Guardians's analytical identity","Cleveland Guardians ranks 25th in run generation and 8th in pitching performance, with a rested bullpen and 4 recent risers.",51.8,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Cleveland Guardians",2,"form_driver","Travis Bazzana","Travis Bazzana is the strongest recent hitter signal","Recent OPS 1.157 versus 0.709 previously.",73.7,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Cleveland Guardians",3,"matchup_edge","Jo Adell","Jo Adell is doing more damage against left-handed pitching","Estimated wOBA: 0.407 vs L, 0.260 vs R.",86.6,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Colorado Rockies",1,"team_identity","Colorado Rockies","Colorado Rockies's analytical identity","Colorado Rockies ranks 13th in run generation and 28th in pitching performance, with a taxed bullpen and 2 recent risers.",33.8,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Colorado Rockies",2,"form_driver","Connor Norby","Connor Norby is the strongest recent hitter signal","Recent OPS 1.058 versus 0.679 previously.",69.4,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Colorado Rockies",3,"matchup_edge","Juan Mejia","Juan Mejia is limiting right-handed batters more effectively","Estimated wOBA: 0.397 vs L, 0.279 vs R.",80.7,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Detroit Tigers",1,"team_identity","Detroit Tigers","Detroit Tigers's analytical identity","Detroit Tigers ranks 10th in run generation and 13th in pitching performance, with a usable bullpen and 4 recent risers.",55.7,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Detroit Tigers",2,"form_driver","Spencer Torkelson","Spencer Torkelson is the strongest recent hitter signal","Recent OPS 1.011 versus 0.724 previously.",68.1,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Detroit Tigers",3,"matchup_edge","Matt Vierling","Matt Vierling is doing more damage against left-handed pitching","Estimated wOBA: 0.327 vs L, 0.203 vs R.",77.2,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Houston Astros",1,"team_identity","Houston Astros","Houston Astros's analytical identity","Houston Astros ranks 23rd in run generation and 20th in pitching performance, with a usable bullpen and 1 recent risers.",38.5,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Houston Astros",2,"form_driver","Ethan Pecko","Ethan Pecko is the strongest recent pitcher signal","Recent OPS allowed 0.402 versus 0.809 previously.",71.8,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Houston Astros",3,"matchup_edge","Yordan Alvarez","Yordan Alvarez is doing more damage against right-handed pitching","Estimated wOBA: 0.342 vs L, 0.448 vs R.",79.6,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Kansas City Royals",1,"team_identity","Kansas City Royals","Kansas City Royals's analytical identity","Kansas City Royals ranks 19th in run generation and 27th in pitching performance, with a taxed bullpen and 1 recent risers.",31.8,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Kansas City Royals",2,"form_driver","Connor Thomas","Connor Thomas is the strongest recent pitcher signal","Recent OPS allowed 0.733 versus 1.022 previously.",66.5,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Kansas City Royals",3,"matchup_edge","Luinder Avila","Luinder Avila is limiting left-handed batters more effectively","Estimated wOBA: 0.304 vs L, 0.413 vs R.",76,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Los Angeles Angels",1,"team_identity","Los Angeles Angels","Los Angeles Angels's analytical identity","Los Angeles Angels ranks 30th in run generation and 17th in pitching performance, with a usable bullpen and 0 recent risers.",27.9,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Los Angeles Angels",2,"form_driver","Ryan Watson","Ryan Watson is the strongest recent pitcher signal","Recent OPS allowed 0.536 versus 0.722 previously.",64.8,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Los Angeles Angels",3,"signature_pitch","Sam Bachman","Sam Bachman's Slider: 88.4 mph, 37.6% whiffs","Quality score 80.8; usage 52.9%.",80.8,"pitch-lab.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Los Angeles Dodgers",1,"team_identity","Los Angeles Dodgers","Los Angeles Dodgers's analytical identity","Los Angeles Dodgers ranks 1st in run generation and 1st in pitching performance, with a usable bullpen and 6 recent risers.",90,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Los Angeles Dodgers",2,"form_driver","Mookie Betts","Mookie Betts is the strongest recent hitter signal","Recent OPS 1.327 versus 0.724 previously.",82.5,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Los Angeles Dodgers",3,"signature_pitch","Tanner Scott","Tanner Scott's Slider: 89.3 mph, 38.0% whiffs","Quality score 81.3; usage 52.2%.",81.3,"pitch-lab.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Miami Marlins",1,"team_identity","Miami Marlins","Miami Marlins's analytical identity","Miami Marlins ranks 6th in run generation and 16th in pitching performance, with a taxed bullpen and 1 recent risers.",55.6,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Miami Marlins",2,"form_driver","Jakob Marsee","Jakob Marsee is the strongest recent hitter signal","Recent OPS 1.227 versus 0.650 previously.",76.2,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Miami Marlins",3,"matchup_edge","Pete Fairbanks","Pete Fairbanks is limiting right-handed batters more effectively","Estimated wOBA: 0.378 vs L, 0.248 vs R.",72.5,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Milwaukee Brewers",1,"team_identity","Milwaukee Brewers","Milwaukee Brewers's analytical identity","Milwaukee Brewers ranks 2nd in run generation and 5th in pitching performance, with a taxed bullpen and 3 recent risers.",83.2,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Milwaukee Brewers",2,"form_driver","Brice Turang","Brice Turang is the strongest recent hitter signal","Recent OPS 1.269 versus 0.763 previously.",81.6,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Milwaukee Brewers",3,"matchup_edge","Brice Turang","Brice Turang is doing more damage against right-handed pitching","Estimated wOBA: 0.270 vs L, 0.382 vs R.",82.5,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Minnesota Twins",1,"team_identity","Minnesota Twins","Minnesota Twins's analytical identity","Minnesota Twins ranks 21st in run generation and 15th in pitching performance, with a usable bullpen and 1 recent risers.",46.5,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Minnesota Twins",2,"form_driver","Jeff Hoffman","Jeff Hoffman is the strongest recent pitcher signal","Recent OPS allowed 0.100 versus 0.700 previously.",80.1,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Minnesota Twins",3,"matchup_edge","Yoendrys Gómez","Yoendrys Gómez is limiting right-handed batters more effectively","Estimated wOBA: 0.376 vs L, 0.261 vs R.",78.7,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"New York Mets",1,"team_identity","New York Mets","New York Mets's analytical identity","New York Mets ranks 22nd in run generation and 22nd in pitching performance, with a rested bullpen and 1 recent risers.",39.2,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"New York Mets",2,"form_driver","Brett Baty","Brett Baty is the strongest recent hitter signal","Recent OPS 1.100 versus 0.638 previously.",73.9,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"New York Mets",3,"signature_pitch","Devin Williams","Devin Williams's Changeup: 83.9 mph, 37.0% whiffs","Quality score 82.5; usage 46.9%.",82.5,"pitch-lab.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"New York Yankees",1,"team_identity","New York Yankees","New York Yankees's analytical identity","New York Yankees ranks 5th in run generation and 3rd in pitching performance, with a usable bullpen and 1 recent risers.",77.8,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"New York Yankees",2,"form_driver","Ryan Yarbrough","Ryan Yarbrough is the strongest recent pitcher signal","Recent OPS allowed 0.432 versus 0.651 previously.",65.5,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"New York Yankees",3,"matchup_edge","Paul Goldschmidt","Paul Goldschmidt is doing more damage against left-handed pitching","Estimated wOBA: 0.417 vs L, 0.248 vs R.",88.1,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Philadelphia Phillies",1,"team_identity","Philadelphia Phillies","Philadelphia Phillies's analytical identity","Philadelphia Phillies ranks 8th in run generation and 7th in pitching performance, with a usable bullpen and 1 recent risers.",64.4,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Philadelphia Phillies",2,"form_driver","Jesús Luzardo","Jesús Luzardo is the strongest recent pitcher signal","Recent OPS allowed 0.205 versus 0.628 previously.",71.3,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Philadelphia Phillies",3,"matchup_edge","Bryce Harper","Bryce Harper is doing more damage against right-handed pitching","Estimated wOBA: 0.301 vs L, 0.421 vs R.",87.4,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Pittsburgh Pirates",1,"team_identity","Pittsburgh Pirates","Pittsburgh Pirates's analytical identity","Pittsburgh Pirates ranks 4th in run generation and 10th in pitching performance, with a usable bullpen and 2 recent risers.",66.8,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Pittsburgh Pirates",2,"form_driver","Brandon Eisert","Brandon Eisert is the strongest recent pitcher signal","Recent OPS allowed 0.296 versus 0.797 previously.",68.7,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Pittsburgh Pirates",3,"matchup_edge","Brandon Lowe","Brandon Lowe is doing more damage against right-handed pitching","Estimated wOBA: 0.271 vs L, 0.386 vs R.",84,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"San Diego Padres",1,"team_identity","San Diego Padres","San Diego Padres's analytical identity","San Diego Padres ranks 11th in run generation and 9th in pitching performance, with a usable bullpen and 1 recent risers.",58.8,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"San Diego Padres",2,"form_driver","Jackson Merrill","Jackson Merrill is the strongest recent hitter signal","Recent OPS 1.216 versus 0.698 previously.",78.3,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"San Diego Padres",3,"signature_pitch","Mason Miller","Mason Miller's Slider: 88.0 mph, 54.3% whiffs","Quality score 86.4; usage 51.1%.",86.4,"pitch-lab.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"San Francisco Giants",1,"team_identity","San Francisco Giants","San Francisco Giants's analytical identity","San Francisco Giants ranks 20th in run generation and 23rd in pitching performance, with a usable bullpen and 0 recent risers.",38,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"San Francisco Giants",2,"form_driver","Christian Koss","Christian Koss is the strongest recent hitter signal","Recent OPS 0.742 versus 0.563 previously.",62.9,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"San Francisco Giants",3,"matchup_edge","Rafael Devers","Rafael Devers is doing more damage against right-handed pitching","Estimated wOBA: 0.250 vs L, 0.422 vs R.",91.5,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Seattle Mariners",1,"team_identity","Seattle Mariners","Seattle Mariners's analytical identity","Seattle Mariners ranks 27th in run generation and 11th in pitching performance, with a taxed bullpen and 2 recent risers.",46.5,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Seattle Mariners",2,"form_driver","Seranthony Domínguez","Seranthony Domínguez is the strongest recent pitcher signal","Recent OPS allowed 0.445 versus 0.700 previously.",66,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Seattle Mariners",3,"matchup_edge","José A. Ferrer","José A. Ferrer is limiting left-handed batters more effectively","Estimated wOBA: 0.254 vs L, 0.396 vs R.",82.8,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"St. Louis Cardinals",1,"team_identity","St. Louis Cardinals","St. Louis Cardinals's analytical identity","St. Louis Cardinals ranks 26th in run generation and 26th in pitching performance, with a rested bullpen and 1 recent risers.",26.8,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"St. Louis Cardinals",2,"form_driver","Justin Bruihl","Justin Bruihl is the strongest recent pitcher signal","Recent OPS allowed 0.361 versus 0.720 previously.",68.2,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"St. Louis Cardinals",3,"matchup_edge","Alec Burleson","Alec Burleson is doing more damage against right-handed pitching","Estimated wOBA: 0.242 vs L, 0.399 vs R.",89.4,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Tampa Bay Rays",1,"team_identity","Tampa Bay Rays","Tampa Bay Rays's analytical identity","Tampa Bay Rays ranks 7th in run generation and 4th in pitching performance, with a usable bullpen and 3 recent risers.",72.3,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Tampa Bay Rays",2,"form_driver","Richie Palacios","Richie Palacios is the strongest recent hitter signal","Recent OPS 1.033 versus 0.679 previously.",75.1,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Tampa Bay Rays",3,"matchup_edge","Cole Sulser","Cole Sulser is limiting left-handed batters more effectively","Estimated wOBA: 0.213 vs L, 0.432 vs R.",78.9,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Texas Rangers",1,"team_identity","Texas Rangers","Texas Rangers's analytical identity","Texas Rangers ranks 15th in run generation and 12th in pitching performance, with a rested bullpen and 3 recent risers.",53.5,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Texas Rangers",2,"form_driver","Danny Jansen","Danny Jansen is the strongest recent hitter signal","Recent OPS 1.152 versus 0.592 previously.",85.7,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Texas Rangers",3,"signature_pitch","Jacob Latz","Jacob Latz's Changeup: 86.0 mph, 45.5% whiffs","Quality score 79.4; usage 21.3%.",79.4,"pitch-lab.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Toronto Blue Jays",1,"team_identity","Toronto Blue Jays","Toronto Blue Jays's analytical identity","Toronto Blue Jays ranks 29th in run generation and 14th in pitching performance, with a taxed bullpen and 0 recent risers.",33.5,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Toronto Blue Jays",2,"form_driver","Kazuma Okamoto","Kazuma Okamoto is the strongest recent hitter signal","Recent OPS 1.034 versus 0.753 previously.",64.5,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Toronto Blue Jays",3,"signature_pitch","Dylan Cease","Dylan Cease's Slider: 88.7 mph, 41.6% whiffs","Quality score 82.6; usage 30.1%.",82.6,"pitch-lab.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Washington Nationals",1,"team_identity","Washington Nationals","Washington Nationals's analytical identity","Washington Nationals ranks 17th in run generation and 29th in pitching performance, with a rested bullpen and 1 recent risers.",30.5,"teams.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Washington Nationals",2,"form_driver","Riley Cornelio","Riley Cornelio is the strongest recent pitcher signal","Recent OPS allowed 0.390 versus 0.743 previously.",71.1,"today.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
"Washington Nationals",3,"matchup_edge","Brady House","Brady House is doing more damage against left-handed pitching","Estimated wOBA: 0.406 vs L, 0.256 vs R.",78.7,"matchups.html","team_broadcast_three_v1","2026-09-19","2026-09-20 14:10:26 UTC"
