"batter_id","player_name","team","pitches","swings","whiffs","out_of_zone_pitches","chases","zone_swings","zone_contact","swing_rate","whiff_rate","chase_rate","zone_contact_rate","discipline_score","discipline_method","discipline_rank"
"663616","Trevor Larnach","Minnesota Twins",809,338,88,432,128,210,181,0.417799752781211,0.260355029585799,0.296296296296296,0.861904761904762,44.9,"pitch_level_chase_contact_profile_v1",212
"682985","Riley Greene","Detroit Tigers",1239,569,156,648,168,401,335,0.459241323648103,0.274165202108963,0.259259259259259,0.835411471321696,44.6,"pitch_level_chase_contact_profile_v1",213
"701398","Sal Stewart","Cincinnati Reds",1208,573,131,633,173,399,327,0.474337748344371,0.228621291448517,0.273301737756714,0.819548872180451,44.5,"pitch_level_chase_contact_profile_v1",214
"683146","Brett Baty","New York Mets",967,444,115,491,132,312,262,0.459152016546019,0.259009009009009,0.268839103869654,0.83974358974359,44.4,"pitch_level_chase_contact_profile_v1",215
"621043","Carlos Correa","Houston Astros",582,262,55,323,104,158,135,0.450171821305842,0.209923664122137,0.321981424148607,0.854430379746835,44.1,"pitch_level_chase_contact_profile_v1",216
"663368","Blake Perkins","Milwaukee Brewers",355,154,33,186,56,98,82,0.433802816901408,0.214285714285714,0.301075268817204,0.836734693877551,43.7,"pitch_level_chase_contact_profile_v1",217
"687231","Darell Hernaiz","Athletics",519,263,53,280,100,163,142,0.506743737957611,0.201520912547529,0.357142857142857,0.871165644171779,43.5,"pitch_level_chase_contact_profile_v1",218
"680869","Zack Gelof","Athletics",776,361,94,362,86,274,214,0.46520618556701,0.260387811634349,0.237569060773481,0.781021897810219,43.4,"pitch_level_chase_contact_profile_v1",219
"624428","Adam Frazier","Los Angeles Angels",369,196,47,182,65,131,117,0.531165311653117,0.239795918367347,0.357142857142857,0.893129770992366,43.3,"pitch_level_chase_contact_profile_v1",220
"673237","Yainer Diaz","Houston Astros",339,197,43,184,79,118,107,0.581120943952802,0.218274111675127,0.429347826086957,0.906779661016949,43.3,"pitch_level_chase_contact_profile_v1",221
"678489","Jorge Barrosa","Arizona Diamondbacks",485,210,53,262,82,128,111,0.43298969072165,0.252380952380952,0.312977099236641,0.8671875,42.8,"pitch_level_chase_contact_profile_v1",222
"686948","Drake Baldwin","Atlanta Braves",826,416,90,445,153,263,229,0.50363196125908,0.216346153846154,0.343820224719101,0.870722433460076,42.8,"pitch_level_chase_contact_profile_v1",223
"682829","Elly De La Cruz","Cincinnati Reds",1036,426,118,548,145,281,234,0.411196911196911,0.276995305164319,0.264598540145985,0.832740213523132,42.5,"pitch_level_chase_contact_profile_v1",224
"660670","Ronald Acu<U+00F1>a Jr.","Atlanta Braves",957,434,112,541,135,299,237,0.45350052246604,0.258064516129032,0.249537892791128,0.792642140468227,42.4,"pitch_level_chase_contact_profile_v1",225
"457705","Andrew McCutchen","Texas Rangers",356,160,49,176,36,124,96,0.449438202247191,0.30625,0.204545454545455,0.774193548387097,42.1,"pitch_level_chase_contact_profile_v1",226
"665019","Kody Clemens","Minnesota Twins",889,434,97,456,139,295,248,0.488188976377953,0.223502304147465,0.304824561403509,0.840677966101695,41.9,"pitch_level_chase_contact_profile_v1",227
"686681","Michael Massey","Kansas City Royals",611,321,67,311,123,198,175,0.525368248772504,0.208722741433022,0.395498392282958,0.883838383838384,41.8,"pitch_level_chase_contact_profile_v1",228
"671739","Michael Harris II","Atlanta Braves",925,513,121,512,230,283,259,0.554594594594595,0.235867446393762,0.44921875,0.915194346289753,41.6,"pitch_level_chase_contact_profile_v1",229
"672275","Patrick Bailey","Cleveland Guardians",587,293,70,300,92,201,171,0.499148211243612,0.238907849829352,0.306666666666667,0.850746268656716,41.6,"pitch_level_chase_contact_profile_v1",230
"542303","Marcell Ozuna","Pittsburgh Pirates",906,378,106,483,124,254,207,0.417218543046358,0.28042328042328,0.256728778467909,0.81496062992126,41.4,"pitch_level_chase_contact_profile_v1",231
"620443","Luis Torrens","New York Mets",510,249,54,271,93,156,135,0.488235294117647,0.216867469879518,0.343173431734317,0.865384615384615,41.2,"pitch_level_chase_contact_profile_v1",232
"669127","Shea Langeliers","Athletics",1048,540,129,567,184,356,308,0.515267175572519,0.238888888888889,0.324514991181658,0.865168539325843,41.2,"pitch_level_chase_contact_profile_v1",233
"701762","Nick Kurtz","Athletics",1363,557,178,741,158,397,312,0.408657373440939,0.319569120287253,0.213225371120108,0.785894206549118,41.2,"pitch_level_chase_contact_profile_v1",234
"571448","Nolan Arenado","Arizona Diamondbacks",1022,468,106,560,177,290,246,0.457925636007828,0.226495726495726,0.316071428571429,0.848275862068966,40.9,"pitch_level_chase_contact_profile_v1",235
"592885","Christian Yelich","Milwaukee Brewers",746,341,103,367,86,255,203,0.457104557640751,0.302052785923754,0.23433242506812,0.796078431372549,40.8,"pitch_level_chase_contact_profile_v1",236
