"runner_id","runner_name","opportunity_type","opportunities","attempts","successes","observed_rate","observed_success_rate","league_rate","league_success_rate","shrunk_rate","shrunk_success_rate","reliability","profile_status"
"687957","Dustin Harris","steal_second",17,4,4,0.235294117647059,1,0.0658241825654868,0.880242311276794,0.121227815188308,0.902016436499195,0.326923076923077,"league-shrunk"
"687957","Dustin Harris","steal_third",7,0,0,0,,0.0134683705392651,0.854330708661417,0.0112236421160542,0.854330708661417,0.166666666666667,"league-shrunk"
"688363","Graham Pauley","first_to_second_on_out",3,3,1,0.333333333333333,0.333333333333333,0.249195916655013,0.249195916655013,0.255838344287512,0.261215547609059,0.0789473684210526,"league-shrunk"
"688363","Graham Pauley","ground_ball_double_play",6,6,3,0.5,0.5,0.205969432663839,0.205969432663839,0.248998296176448,0.279477074497879,0.146341463414634,"league-shrunk"
"688363","Graham Pauley","sac_fly_scores",2,2,1,0.5,0.5,0.598560575769692,0.598560575769692,0.593232977079439,0.588704518192723,0.0540540540540541,"league-shrunk"
"688363","Graham Pauley","second_to_third_on_out",5,5,1,0.2,0.2,0.47702727439136,0.47702727439136,0.44239886509244,0.416803953871499,0.125,"league-shrunk"
"688363","Graham Pauley","single_first_to_third",4,4,0,0,0,0.348118279569892,0.348118279569892,0.312413840639647,0.284824046920821,0.102564102564103,"league-shrunk"
"688363","Graham Pauley","single_second_scores",6,6,4,0.666666666666667,0.666666666666667,0.615318168730204,0.615318168730204,0.62283258306237,0.62815529321432,0.146341463414634,"league-shrunk"
"688363","Graham Pauley","steal_second",20,0,0,0,,0.0658241825654868,0.880242311276794,0.041888116178037,0.880242311276794,0.363636363636364,"league-shrunk"
"688363","Graham Pauley","steal_third",17,1,1,0.0588235294117647,1,0.0134683705392651,0.854330708661417,0.0282960186321976,0.861997513468711,0.326923076923077,"league-shrunk"
"689414","Liam Hicks","double_first_scores",13,13,1,0.0769230769230769,0.0769230769230769,0.411671924290221,0.411671924290221,0.321010778128286,0.271293375394322,0.270833333333333,"league-shrunk"
"689414","Liam Hicks","first_to_second_on_out",27,27,5,0.185185185185185,0.185185185185185,0.249195916655013,0.249195916655013,0.221320275531056,0.210789477773116,0.435483870967742,"player signal"
"689414","Liam Hicks","ground_ball_double_play",37,37,3,0.0810810810810811,0.0810810810810811,0.205969432663839,0.205969432663839,0.141790696433811,0.121953632508166,0.513888888888889,"player signal"
"689414","Liam Hicks","sac_fly_scores",11,11,8,0.727272727272727,0.727272727272727,0.598560575769692,0.598560575769692,0.629339568520418,0.647382426339809,0.239130434782609,"league-shrunk"
"689414","Liam Hicks","second_to_third_on_out",19,19,6,0.315789473684211,0.315789473684211,0.47702727439136,0.47702727439136,0.42029545562403,0.39422948483904,0.351851851851852,"league-shrunk"
"689414","Liam Hicks","single_first_to_third",30,30,8,0.266666666666667,0.266666666666667,0.348118279569892,0.348118279569892,0.310525227460711,0.297211021505376,0.461538461538462,"player signal"
"689414","Liam Hicks","single_second_scores",15,15,5,0.333333333333333,0.333333333333333,0.615318168730204,0.615318168730204,0.530722718111143,0.487143243549808,0.3,"league-shrunk"
"689414","Liam Hicks","steal_second",141,1,1,0.00709219858156028,1,0.0658241825654868,0.880242311276794,0.0187718544874548,0.886545347525384,0.801136363636364,"player signal"
"689414","Liam Hicks","steal_third",56,1,1,0.0178571428571429,1,0.0134683705392651,0.854330708661417,0.0161691535041129,0.861997513468711,0.615384615384615,"player signal"
"690022","Ryan Ritter","double_first_scores",1,1,0,0,0,0.411671924290221,0.411671924290221,0.400236593059937,0.390004980906525,0.0277777777777778,"league-shrunk"
"690022","Ryan Ritter","first_to_second_on_out",1,1,0,0,0,0.249195916655013,0.249195916655013,0.242273807859041,0.236080342094223,0.0277777777777778,"league-shrunk"
"690022","Ryan Ritter","ground_ball_double_play",1,1,0,0,0,0.205969432663839,0.205969432663839,0.200248059534288,0.195128936207848,0.0277777777777778,"league-shrunk"
"690022","Ryan Ritter","steal_second",2,0,0,0,,0.0658241825654868,0.880242311276794,0.062266118643028,0.880242311276794,0.0540540540540541,"league-shrunk"
"690291","Jace Jung","ground_ball_double_play",1,1,0,0,0,0.205969432663839,0.205969432663839,0.200248059534288,0.195128936207848,0.0277777777777778,"league-shrunk"
"690291","Jace Jung","single_first_to_third",1,1,1,1,1,0.348118279569892,0.348118279569892,0.366226105137396,0.382427843803056,0.0277777777777778,"league-shrunk"
"690291","Jace Jung","steal_second",1,0,0,0,,0.0658241825654868,0.880242311276794,0.0639957330497788,0.880242311276794,0.0277777777777778,"league-shrunk"
"690924","Braxton Fulford","double_first_scores",3,3,2,0.666666666666667,0.666666666666667,0.411671924290221,0.411671924290221,0.431803088162046,0.448099744629713,0.0789473684210526,"league-shrunk"
"690924","Braxton Fulford","first_to_second_on_out",3,3,0,0,0,0.249195916655013,0.249195916655013,0.229522554813828,0.213596499990011,0.0789473684210526,"league-shrunk"
"690924","Braxton Fulford","ground_ball_double_play",3,3,0,0,0,0.205969432663839,0.205969432663839,0.189708687979852,0.176545227997577,0.0789473684210526,"league-shrunk"
