"player_id","opponent_hand","player_name","team","hand","first_game","last_game","pa","ab","hits","singles","doubles","triples","home_runs","walks","intentional_walks","hit_by_pitch","strikeouts","sacrifice_flies","total_bases","batted_balls","hard_hit","barrel_proxy","ground_balls","line_drives","fly_balls","popups","pulled_batted_balls","average_exit_velocity","average_launch_angle","run_value_total","run_value_opportunities","batting_average","on_base_percentage","slugging_percentage","ops","isolated_power","strikeout_rate","walk_rate","hard_hit_rate","barrel_proxy_rate","ground_ball_rate","line_drive_rate","fly_ball_rate","pull_rate","woba_estimate","run_value_per_pa","pa_reliability","bbe_reliability","sample_label","perspective","woba_method","summary_method","source_through","generated_at_utc"
"607043","R","Brandon Nimmo","Texas Rangers","L",2026-03-26,2026-07-30,324,290,72,45,16,4,7,29,1,4,74,1,117,217,122,30,83,68,61,5,82,93.5585253456221,11.5391705069124,-6.24554332069127,324,0.248275862068966,0.324074074074074,0.403448275862069,0.727522349936143,0.155172413793103,0.228395061728395,0.0895061728395062,0.56221198156682,0.138248847926267,0.382488479262673,0.313364055299539,0.28110599078341,0.377880184331797,0.315634674922601,-0.0192763682737385,0.764,0.813,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"678246","R","Miguel Vargas","Chicago White Sox","R",2026-03-26,2026-07-30,324,275,62,29,20,0,13,38,0,7,57,4,121,222,91,30,69,48,83,22,103,89.3538461538461,19.710407239819,15.7577657687569,324,0.225454545454545,0.330246913580247,0.44,0.770246913580247,0.214545454545455,0.175925925925926,0.117283950617284,0.40990990990991,0.135135135135135,0.310810810810811,0.216216216216216,0.373873873873874,0.463963963963964,0.332438271604938,0.0486350795332004,0.764,0.816,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"672695","R","Geraldo Perdomo","Arizona Diamondbacks","L",2026-03-26,2026-07-29,323,266,62,41,12,2,7,51,0,4,39,1,99,229,67,7,86,61,70,12,124,87.1824561403509,17.1140350877193,-2.6413547384628,323,0.233082706766917,0.363354037267081,0.37218045112782,0.7355344883949,0.139097744360902,0.120743034055728,0.157894736842105,0.292576419213974,0.0305676855895196,0.375545851528384,0.266375545851528,0.305676855895196,0.541484716157205,0.329875776397516,-0.00817756884973003,0.764,0.821,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"666018","R","Jonathan Aranda","Tampa Bay Rays","L",2026-03-26,2026-07-30,323,276,81,53,15,0,13,37,2,5,71,5,135,209,92,24,75,57,70,7,75,91.0057692307692,14.3557692307692,18.6828859146659,323,0.293478260869565,0.380804953560372,0.489130434782609,0.86993538834298,0.195652173913043,0.219814241486068,0.114551083591331,0.440191387559809,0.114832535885167,0.358851674641148,0.272727272727273,0.334928229665072,0.358851674641148,0.371090342679128,0.0578417520577893,0.764,0.807,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"668804","R","Bryan Reynolds","Pittsburgh Pirates","L",2026-03-26,2026-07-30,321,265,68,41,16,2,9,47,1,7,81,2,115,186,90,23,81,50,48,7,81,90.9258064516129,10.4139784946237,9.17023451426146,321,0.256603773584906,0.38006230529595,0.433962264150943,0.814024569446893,0.177358490566038,0.252336448598131,0.146417445482866,0.483870967741935,0.123655913978495,0.435483870967742,0.268817204301075,0.258064516129032,0.435483870967742,0.35596875,0.0285677087671696,0.762,0.788,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"680776","R","Jarren Duran","Boston Red Sox","L",2026-03-28,2026-07-30,321,295,55,34,6,3,12,17,0,3,97,6,103,201,76,21,94,41,45,21,97,89.7855,14.1940298507463,-10.2395406503485,321,0.186440677966102,0.233644859813084,0.349152542372881,0.582797402185965,0.16271186440678,0.302180685358255,0.0529595015576324,0.378109452736318,0.104477611940299,0.467661691542289,0.203980099502488,0.223880597014925,0.482587064676617,0.249376947040498,-0.0318988805306808,0.762,0.801,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"666176","R","Jo Adell","Los Angeles Angels","R",2026-03-26,2026-07-29,321,300,65,44,14,1,6,10,0,11,76,0,99,223,93,16,88,58,56,21,96,89.0263636363636,16.9227272727273,-10.3078593629911,321,0.216666666666667,0.26791277258567,0.33,0.59791277258567,0.113333333333333,0.236760124610592,0.0311526479750779,0.417040358744395,0.0717488789237668,0.394618834080717,0.260089686098655,0.251121076233184,0.430493273542601,0.263302180685358,-0.0321117114111871,0.762,0.817,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"650490","R","Yandy Díaz","Tampa Bay Rays","R",2026-03-26,2026-07-30,321,285,88,64,14,1,9,28,0,7,46,1,131,240,105,18,126,61,40,13,78,89.8189075630252,3.29831932773109,21.7557373723709,321,0.308771929824561,0.383177570093458,0.459649122807018,0.842826692900476,0.150877192982456,0.143302180685358,0.0872274143302181,0.4375,0.075,0.525,0.254166666666667,0.166666666666667,0.325,0.366635514018692,0.0677748827799715,0.762,0.828,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"518692","R","Freddie Freeman","Los Angeles Dodgers","L",2026-03-26,2026-07-30,318,278,91,58,21,1,11,36,1,1,47,3,147,234,105,22,91,65,66,12,91,90.4786324786325,13.8461538461538,16.9503219679505,318,0.327338129496403,0.40251572327044,0.528776978417266,0.931292701687707,0.201438848920863,0.147798742138365,0.113207547169811,0.448717948717949,0.094017094017094,0.388888888888889,0.277777777777778,0.282051282051282,0.388888888888889,0.396277602523659,0.0533028992702846,0.761,0.824,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"521692","R","Salvador Perez","Kansas City Royals","R",2026-03-27,2026-07-30,318,295,56,37,7,1,11,11,0,8,70,4,98,227,89,21,90,52,63,22,107,88.4651982378855,16.0044052863436,-16.5395472982708,318,0.189830508474576,0.235849056603774,0.332203389830508,0.568052446434282,0.142372881355932,0.220125786163522,0.0345911949685535,0.392070484581498,0.092511013215859,0.39647577092511,0.229074889867841,0.277533039647577,0.47136563876652,0.246100628930818,-0.0520111550260089,0.761,0.819,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"650333","R","Luis Arraez","San Francisco Giants","L",2026-03-27,2026-07-30,317,289,95,72,16,4,3,19,1,1,9,7,128,288,63,2,100,83,93,12,103,87.4770833333333,17.0520833333333,9.14475468840728,317,0.328719723183391,0.363924050632911,0.442906574394464,0.806830625027375,0.114186851211073,0.028391167192429,0.0599369085173502,0.21875,0.00694444444444444,0.347222222222222,0.288194444444444,0.322916666666667,0.357638888888889,0.344793650793651,0.0288478065880356,0.76,0.852,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"593428","R","Xander Bogaerts","San Diego Padres","R",2026-03-26,2026-07-30,317,273,59,46,5,0,8,37,0,3,64,4,88,212,82,16,111,41,51,9,118,87.6635071090047,5.7345971563981,0.315727166564457,317,0.216117216117216,0.312302839116719,0.322344322344322,0.634647161461042,0.106227106227106,0.201892744479495,0.116719242902208,0.386792452830189,0.0754716981132075,0.523584905660377,0.193396226415094,0.240566037735849,0.556603773584906,0.285331230283912,0.000995984752569265,0.76,0.809,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"676475","R","Alec Burleson","St. Louis Cardinals","L",2026-03-26,2026-07-30,316,282,92,57,21,1,13,29,0,4,51,1,154,232,118,30,98,57,65,12,118,92.0896103896104,12.8917748917749,33.388814625306,316,0.326241134751773,0.395569620253165,0.546099290780142,0.941668911033306,0.219858156028369,0.161392405063291,0.0917721518987342,0.508620689655172,0.129310344827586,0.422413793103448,0.245689655172414,0.280172413793103,0.508620689655172,0.40120253164557,0.105660805776285,0.76,0.823,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
"664040","R","Brandon Lowe","Pittsburgh Pirates","L",2026-03-26,2026-07-30,316,279,75,35,20,1,19,32,0,2,74,3,154,207,97,27,70,52,72,13,106,91.7951690821256,17.2028985507246,26.068004526133,316,0.268817204301075,0.34493670886076,0.551971326164875,0.896908035025634,0.283154121863799,0.234177215189873,0.10126582278481,0.468599033816425,0.130434782608696,0.338164251207729,0.251207729468599,0.347826086956522,0.51207729468599,0.376170886075949,0.0824936852092816,0.76,0.805,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-07-30","2026-07-31 12:00:57 UTC"
